#CODE;ENGLISH;;;;;;;;;x 
###### Promethean ;;;;;;;;;;x 
GOD_PROMETHEUS;Prometheus;;;;;;;;;x 
GOD_EPIMETHEUS;Epimetheus;;;;;;;;;x 
GOD_OLYMPIANS;the Olympians;;;;;;;;;x 
THE_DIALOGUES;The Dialogues;;;;;;;;;x 
PHILOSOPHER;Philosophos;;;;;;;;;x 
promethean_pagan;Promethean;;;;;;;;;x 
promethean_pagan_DESC;Prometheanism is the worship of the Titan Prometheus and, to a lesser extent, his brother Epimetheus, as the fathers of humanity. Prometheanism acknowledges the existence, and divinity, of the Olympians, but rejects their worthiness as beings to be worshiped. Prometheans value intellectual pursuits above all, finding guile, diplomacy, and a quick wit to be the highest art forms. They find violence distasteful, but recognize that it is ocassionally necessary.;;;;;;;;;x 
promethean_philosophy;Promethean Philosophy;;;;;;;;;x 
promethean_philosophy_desc;Promethean beliefs encourage intellectual pursuits and the advancements of science, technology, and logic. Promethean tend toward higher education as a result.;;;;;;;;;x 
#;;;;;;;;;;x 
d_promethean_pagan;First Academy;;;;;;;;;x 
d_promethean_pagan_adj;Academecian;;;;;;;;;x 
SCHOLARCH;Scholarch;;;;;;;;;x 
###### Titan cult;;;;;;;;;;x 
titan_pagan;Titan Cultist;;;;;;;;;x 
titan_pagan_DESC;The Titan Cult rejects the authority of the Olympian Gods, considering them usurpers and unworthy of their worship. Titan Cultists reject the kind of civilization that Hellenism has typically fostered, and have much more in common with the more "barbaric" religions. They are extremely aggressive and prone to collapse during a succession. \n§Y*§! Succession laws are dependent on Crown Authority;;;;;;;;;x 
titan_cultist;Titan Ferocity;;;;;;;;;x 
titan_cultist_desc;Titan Cultists relish and excel in personal combat.;;;;;;;;;x 
temple_baron_titan_pagan;Priest;;;;;;;;;x 
GOD_KRONOS;Kronos;;;;;;;;;x 
GOD_OCEANUS;Oceanus;;;;;;;;;x 
GOD_TETHYS;Tethys;;;;;;;;;x 
GOD_HYPERION;Hyperion;;;;;;;;;x 
GOD_THEIA;Theia;;;;;;;;;x 
GOD_RHEA;Rhea;;;;;;;;;x 
GOD_ATLAS;Atlas;;;;;;;;;x 
GOD_KOIOS;Koios;;;;;;;;;x 
GOD_PHOEBE;Phoebe;;;;;;;;;x 
GOD_MNEMOSYNE;Mnemosyne;;;;;;;;;x 
GOD_THEMIS;Themis;;;;;;;;;x 
GOD_KRIUS;Krius;;;;;;;;;x 
GOD_IAPETUS;Iapetus;;;;;;;;;x 
#;;;;;;;;;;x 
