#CODE;ENGLISH;;;;;;;;;x 
repudiate_chalcedon_nestorian_catholic;Repudiate the Council of Chalcedon (Catholic);;;;;;;;;x 
repudiate_chalcedon_nestorian_catholic_desc;The Roman Papacy has always been known to overstep its boundaries, but if all three of the episcopal sees of Saint Peter (Rome, Alexandria and Antioch) could be restored the Nestorian faith, there may be a chance to bring back order.;;;;;;;;;x 
EVTTOOLTIPSHS.401;The Roman Papacy is subjugated to the Church.;;;;;;;;;x 
EVTNAMESHS.401;Council of Chalcedon Repudiated (Catholic);;;;;;;;;x 
EVTDESCSHS.401;At last the Roman Church has been brought back in line to the True Church. With the spread of Nestorianism and the subjugation of vital episcopal see of Rome, the Catholic faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the Petrine Sees can once more claim universal rule over all of Christendom.;;;;;;;;;x 
EVTOPTASHS.402;If that's the way the wind is blowing...;;;;;;;;;x 
EVTOPTBSHS.402;I will never give up my faith!;;;;;;;;;x 
repudiate_chalcedon_nestorian_orthodox;Repudiate the Council of Chalcedon (Orthodox);;;;;;;;;x 
repudiate_chalcedon_nestorian_orthodox_desc;Though the Council of Chalcedon went forward towards dyophysitism and away from monophysitism, it resulted in the Byzantine Patriarch gaining control of the Roman Papacy, but if the see of Constantinople can be subjugated to the Nestorian faith, there may be a chance to bring back order.;;;;;;;;;x 
EVTTOOLTIPSHS.403;The Byzantine Patriarch is is subjugated to the Church.;;;;;;;;;x 
EVTNAMESHS.403;Council of Chalcedon Repudiated (Orthodox);;;;;;;;;x 
EVTDESCSHS.403;At last the Byzantine Church has been brought back in line to the True Church. With the spread of Nestorianism and the subjugation of the vital episcopal see of Constantinople, the Orthodox faith now holds little sway over the people of Europe. There will be those who still cling to it, but they will be few in number and the True Church can once more claim universal rule over all of Christendom.;;;;;;;;;x 
EVTOPTASHS.404;If that's the way the wind is blowing...;;;;;;;;;x 
EVTOPTBSHS.404;I will never give up my faith!;;;;;;;;;x 
repudiate_ephesus_nestorian;Repudiate the Council of Ephesus;;;;;;;;;x 
repudiate_ephesus_nestorian_desc;The Third Ecumenical Council saw an unjust condemnation of Nestorius by siding with the heretic Eutyches, resulting in an early schism. If the episcopal sees of these schismatics could be restored to the Nestorian faith, there may be a chance to bring back these churches to the True Faith.;;;;;;;;;x 
EVTTOOLTIPSHS.405;The Council of Ephesus is repudiated.;;;;;;;;;x 
EVTNAMESHS.405;Council of Ephesus Repudiated;;;;;;;;;x 
EVTDESCSHS.405;At last the Miaphysites have abandoned their nonsense regarding the Mother of Christ, thus returning to the proper understanding of the Lord. With the spread of Nestorianism, the Miaphysite faith now holds little sway within Christendom. There will be those who still cling to it, but they will be few in number and the True Church can once more claim universal rule over all of Christendom.;;;;;;;;;x 
EVTOPTASHS.406;If that's the way the wind is blowing...;;;;;;;;;x 
EVTOPTBSHS.406;I will never give up my faith!;;;;;;;;;x 
EVTDESCSHN.012;With the city now under Syriac control, the Bishopric of Aquileia has been properly restored to the proper faith. It was said to have been founded by Saint Mark the Evangelist, after having been the disciple of Saint Peter the Apostle.;;;;;;;;;x 
EVTDESCSHN.013;With the city now under Syriac control, the former Archbishopric of Seleucia-Ctesiphon can now be properly consecrated. The former twin cities were abandoned after the Tigris river changed course. It was originally co-founded by the Saints Bartholomew the Apostle and Thomas the Apostle with their disciple Saint Addai. Together, they are considered the founder and the first Patriarch of the East.;;;;;;;;;x 
