#CODE;ENGLISH;;;;;;;;;x 
convert_mandean;Convert to Mandaeanism;;;;;;;;;x 
convert_mandean_desc;I have discovered some ancient texts which indicate that my beliefs may originate from this religion. I should bring my faith to its roots.;;;;;;;;;x 
convert_mandean_cathar;Convert to Catharism;;;;;;;;;x 
convert_mandean_cathar_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Catharism.;;;;;;;;;x 
convert_mandean_bogomil;Convert to Bogomilism;;;;;;;;;x 
convert_mandean_bogomil_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Bogomilism.;;;;;;;;;x 
convert_mandean_paulician;Convert to Paulicianism;;;;;;;;;x 
convert_mandean_paulician_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Paulicianism.;;;;;;;;;x 
convert_mandean_tondrak;Convert to Tondrakianism;;;;;;;;;x 
convert_mandean_tondrak_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Tondrakianism.;;;;;;;;;x 
convert_mandean_yazidi;Convert to Yazidism;;;;;;;;;x 
convert_mandean_yazidi_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Yazidism.;;;;;;;;;x 
convert_mandean_hurufi;Convert to Hurufi;;;;;;;;;x 
convert_mandean_hurufi_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Hurufism.;;;;;;;;;x 
convert_mandean_kabbalah;Convert to Kabbalahism;;;;;;;;;x 
convert_mandean_kabbalah_desc;Religion stagnates over time. If I do not do something, it may encourage heretical thinking. I should evolve my faith to Kabbalahism.;;;;;;;;;x 
