#CODE;ENGLISH;;;;;;;;;x 
hussite;Hussite;;;;;;;;;x 
hussite_DESC;Heavily influenced by the Lollard movement within the Catholic Church, the Hussite heretics were a proto-Protestant movement who advocated nationalism and increasing awareness to social issues.;;;;;;;;;x 
tondrakian;Tondrakian;;;;;;;;;x 
tondrakian_DESC;Tondrakians are a heretical Christian sect originating in the city of Tondrak, Armenia, which may have been a derivative of Paulicianism. They deny the sacramentality of marriage and thus encourage sexual promiscuity. They have no formal rites and no strict church hierarchy.:;;;;;;;;;x 
mandean;Mandaean;;;;;;;;;x 
mandean_DESC;Mandaeanim, or Sabianism, is a Gnostic religion in Mesopotamia with a strong dualistic worldview, predating both the Arab culture and Islam. Mandaeans believe themselves to be the descendants of the biblical Noah. Though they specially revere John the Baptist, they reject Jesus as a false messiah. In-game, Mandean is considered a Manichean heresy.;;;;;;;;;x 
PROPHET_NOAH;Noah;;;;;;;;;x 
PROPHET_JOHN;John the Baptist;;;;;;;;;x 
GOD_PTAHIL;Ptahil;;;;;;;;;x 
GOD_YUSHAMIN;Yushamin;;;;;;;;;x 
GOD_ABATHUR;Abathur;;;;;;;;;x 
LATIN_PATRIARCH;Latin Patriarch;;;;;;;;;x 
LATIN_PATRIARCHATE_OF;Latin Patriarchate of;;;;;;;;;x 
d_latin_constantinople;Constantinople;;;;;;;;;x 
d_latin_constantinople_adj;Latin Patriarchal;;;;;;;;;x 
d_latin_alexandria;Alexandria;;;;;;;;;x 
d_latin_alexandria_adj;Latin Patriarchal;;;;;;;;;x 
d_latin_antioch;Antioch;;;;;;;;;x 
d_latin_antioch_adj;Latin Patriarchal;;;;;;;;;x 
d_latin_jerusalem;Jerusalem;;;;;;;;;x 
d_latin_jerusalem_adj;Latin Patriarchal;;;;;;;;;x 
d_maronite;Maronite Patriarchate;;;;;;;;;x 
d_maronite_adj;Maronite Patriarchal;;;;;;;;;x 
d_saint_maron;Order of Saint Maron;;;;;;;;;x 
d_saint_maron_adj;Maronite;;;;;;;;;x 
