#CODE;ENGLISH;;;;;;;;;x 
AIREASON_TOO_OLD;§Y[GetTitledFirstName]§! is past childbearing age;;;;;;;;;x 
AIREASON_OPINION;Opinion of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_SKILLS;Skills of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_REALPOLITIK;Political Concerns;;;;;;;;;x 
AIREASON_REALPOLITIK_VS;Political Concerns vs §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_WRONG_RELIGION;False Religion;;;;;;;;;x 
AIREASON_WRONG_CULTURE;Foreign Culture;;;;;;;;;x 
AIREASON_TOO_WEAK;Weaker than I am;;;;;;;;;x 
AIREASON_WEAKNESS;Lack of Power;;;;;;;;;x 
AIREASON_STRENGTH;Power;;;;;;;;;x 
AIREASON_IS_RULER;Is a Ruler;;;;;;;;;x 
AIREASON_NOT_DE_JURE_LIEGE;Not my de jure Liege;;;;;;;;;x 
AIREASON_CANNOT_AFFORD;Cannot Afford;;;;;;;;;x 
AIREASON_NO_INTEREST_IN_CHAR;No interest in §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_SAME_DYNASTY_AS_TARGET;Same Dynasty as §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_TOO_CLOSE_FOR_SUCC_MARR;§Y[GetTitledFirstName]§! is too high in the line of succession;;;;;;;;;x 
AIREASON_SUCC_LOWLY_RANK;§Y[GetTitledFirstName]§! is of too lowly rank for a regular marriage;;;;;;;;;x 
AIREASON_NOT_A_SUCCESSION_MARRIAGE;§Y[GetTitledFirstName]§! would prefer a Matrilineal Marriage;;;;;;;;;x 
AIREASON_POWER_TO_PRESS_CLAIMS;§Y[GetTitledFirstName]§! has the power to press my claims;;;;;;;;;x 
AIREASON_UNABLE_PRESS_CLAIMS;§Y[GetTitledFirstName]§! is unable to press my claims;;;;;;;;;x 
AIREASON_REBELLIOUS;Rebellious;;;;;;;;;x 
AIREASON_AGE_FACTOR;Age of §Y[GetTitledFirstName]§!;;;;;;;;;x 
AIREASON_IS_MY_LIEGE;§Y[GetTitledFirstName]§! is my Liege;;;;;;;;;x 
AIREASON_PRESTIGE_EFFECTS;Prestige Effects;;;;;;;;;x 
AIREASON_WANTS_FREEDOM;Wants Freedom;;;;;;;;;x 
AIREASON_CLOSE_RELATIVE;§Y[GetTitledFirstName]§! is a Close Relative;;;;;;;;;x 
