#CODE;ENGLISH;;;;;;;;;x 
LEDGER_SORT_DELAYED;§GClick to sort using this column§W;;;;;;;;;x 
show_true_humility;Showed his true humility;;;;;;;;;x 
shown_true_humility;Likes our humility;;;;;;;;;x 
talent_recognized;Recognizes my talent;;;;;;;;;x 
honest_neg_small;Envies honesty given;;;;;;;;;x 
slothful_ruler;Slothful Ruler;;;;;;;;;x 
nick_the_lisp_and_lame;the Lisp and Lame;;;;;;;;;x 
ANY_WARD_STARTS;Any ward;;;;;;;;;x 
TITLE_CANNOT_USURP_BEFORE;Cannot usurp this title before §Y$DATE$§!;;;;;;;;;x 
fair;Attractive;;;;;;;;;x 
c_grassland_cheremisa_adj;Kerzhenetsian;;;;;;;;;x 
c_mountain_cheremisa_adj;Cheremisan;;;;;;;;;x 
PROV589;Kerzhenets;;;;;;;;;x 
PROV591;Cheremisa;;;;;;;;;x 
black_honor;Breaking Feudal Obligations;;;;;;;;;x 
EVTOPTF40020;Expose the assassins employer!;;;;;;;;;x 
EVTTOOLTIP40026;will be exposed as an employer of assassins.;;;;;;;;;x 
EVTDESC40026;Not only did our assassin get discovered, he also managed to implicate that we were behind it.  Now [From.GetBestName] is showing proofs to everyone in the [Root.PrimaryTitle.GetFullName] that we have broken our feudal contract with a vassal.;;;;;;;;;x 
EVTOPTA40026;This is bad news...;;;;;;;;;x 
deceitful_martial;Appearing Martial;;;;;;;;;x 
deceitful_stewardship;Faking Stewardship;;;;;;;;;x 
deceitful_diplomacy;Appearing Diplomatic;;;;;;;;;x 
deceitful_learning;Faking Learning;;;;;;;;;x 
EVTDESC3260;I am not the most martial of rulers and sometimes it appears as if I am almost incompetent when it comes to behaving like a knight. Luckily, I know how to manipulate people...;;;;;;;;;x 
EVTOPTA3260;Talk the talk and Talk the talk..;;;;;;;;;x 
EVTOPTB3260;Let [Root.job_marshal.GetTitledFirstName] get the blame.;;;;;;;;;x 
EVTDESC3261;I simply can not keep up with handling the day to day business of my demesne. I rely on others, but manipulate them to believe that I am doing the harder things.;;;;;;;;;x 
EVTOPTA3261;Talk the talk and Talk the talk..;;;;;;;;;x 
EVTOPTB3261;Let [Root.job_treasurer.GetTitledFirstName] get the hard work.;;;;;;;;;x 
EVTDESC3262;Sometimes the niceties of diplomacy pass me by and puts me in awkward positions. However, by careful manipulation of my court, I've managed to let my courtiers take the blame when things go bad.;;;;;;;;;x 
EVTOPTA3262;They serve me after all..;;;;;;;;;x 
EVTOPTB3262;Let [Root.job_chancellor.GetTitledFirstName] get the blame.;;;;;;;;;x 
EVTDESC3263;I am not a bookish person and if it weren't for some careful comments in some discussions this would become obvious to my court.;;;;;;;;;x 
EVTOPTA3263;Talk the talk and Talk the talk..;;;;;;;;;x 
EVTOPTB3263;[Root.job_spiritual.GetTitledFirstName] is not happy with it.;;;;;;;;;x 
#;;;;;;;;;;x 
EVTDESC73200;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_marshal.GetTitledFirstName] as [Root.Liege.GetHerHis] marshal. I am more competent and would be a better marshal!;;;;;;;;;x 
EVTOPTA73200;I will petition my liege!;;;;;;;;;x 
EVTTOOLTIP73201;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
EVTDESC73201;[From.GetBestName] claims that [From.GetSheHe] would be a better marshal than [Root.job_marshal.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Marshal of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;x 
EVTOPTA73201;[From.GetSheHeCap] is now my new Marshal;;;;;;;;;x 
EVTOPTB73201;Give [Root.job_marshal.GetFirstName] a chance!;;;;;;;;;x 
EVTTOOLTIP73202;will hear of our patience.;;;;;;;;;x 
EVTOPTC73201;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73202;My liege [From.GetBestName] is not entirely happy with our performance as Marshal of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;;;;;;;;;x 
EVTOPTA73202;I must prove myself!;;;;;;;;;x 
EVTOPTB73202;What can I do?;;;;;;;;;x 
EVTDESC73203;Enough time has passed, I deserve to become Marshal of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;;;;;;;;;x 
EVTOPTA73203;I await [Root.Liege.GetHerHis] reply eagerly.;;;;;;;;;x 
EVTTOOLTIP73204;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
#EVTDESC73204;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Marshal of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;;;;;;;;x 
EVTOPTA73204;[From.GetSheHeCap] is now my new Marshal;;;;;;;;;x 
EVTOPTC73204;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73205;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Marshal of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x 
EVTOPTA73205;Its what I deserve..;;;;;;;;;x 
#;;;;;;;;;;x 
EVTDESC73210;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_spymaster.GetTitledFirstName] as [Root.Liege.GetHerHis] Spymaster. I am more competent and would be a better Spymaster!;;;;;;;;;x 
EVTOPTA73210;I will petition my liege!;;;;;;;;;x 
EVTTOOLTIP73211;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
EVTDESC73211;[From.GetBestName] claims that [From.GetSheHe] would be a better Spymaster than [Root.job_spymaster.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Spymaster of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;x 
EVTOPTA73211;[From.GetSheHeCap] is now my new Spymaster;;;;;;;;;x 
EVTOPTB73211;Give [Root.job_spymaster.GetTitledFirstName] a chance!;;;;;;;;;x 
EVTTOOLTIP73212;will hear of our patience.;;;;;;;;;x 
EVTOPTC73211;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73212;My liege [From.GetBestName] is not entirely happy with our performance as Spymaster of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;;;;;;;;;x 
EVTOPTA73212;I must prove myself!;;;;;;;;;x 
EVTOPTB73212;What can I do?;;;;;;;;;x 
EVTDESC73213;Enough time has passed, I deserve to become Spymaster of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;;;;;;;;;x 
EVTOPTA73213;I await [Root.Liege.GetHerHis] reply eagerly.;;;;;;;;;x 
EVTTOOLTIP73214;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
#EVTDESC73214;I promised [From.GetBestName] that [From.GetSheHe] had a chance to become Spymaster of the [Root.PrimaryTitle.GetFullName]. Now [From.GetSheHe] is petionioning me again about it.;;;;;;;;;x 
EVTOPTA73214;[From.GetSheHeCap] is now my new Spymaster;;;;;;;;;x 
EVTOPTC73214;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73215;My dear and trustworthy [This.GetBestName].\nI hereby grant you the title as Spymaster of the [Root.PrimaryTitle.GetFullName].\n\n[From.GetBestName];;;;;;;;;x 
EVTOPTA73215;Its what I deserve..;;;;;;;;;x 
#;;;;;;;;;;x 
EVTDESC73220;It is sad that [Root.Liege.GetTitledFirstName] is employing [Root.job_treasurer.GetTitledFirstName] as [Root.Liege.GetHerHis] Steward. I am more competent and would be a better Steward!;;;;;;;;;x 
EVTOPTA73220;I will petition my liege!;;;;;;;;;x 
EVTTOOLTIP73221;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
EVTDESC73221;[From.GetBestName] claims that [From.GetSheHe] would be a better Steward than [Root.job_treasurer.GetTitledFirstName], and petitions that [From.GetSheHe] should be given the title of Steward of the [Root.PrimaryTitle.GetFullName].;;;;;;;;;x 
EVTOPTA73221;[From.GetSheHeCap] is now my new Steward;;;;;;;;;x 
EVTOPTB73221;Give [Root.job_treasurer.GetFirstName] a chance!;;;;;;;;;x 
EVTTOOLTIP73222;will hear of our patience.;;;;;;;;;x 
EVTOPTC73221;I rule in the [Root.PrimaryTitle.GetFullName]!;;;;;;;;;x 
EVTDESC73222;My liege [From.GetBestName] is not entirely happy with our performance as Steward of the [Root.PrimaryTitle.GetFullName], and is considering our replacement..;;;;;;;;;x 
EVTOPTA73222;I must prove myself!;;;;;;;;;x 
EVTOPTB73222;What can I do?;;;;;;;;;x 
EVTDESC73223;Enough time has passed, I deserve to become Steward of the [Root.PrimaryTitle.GetFullName], and [Root.Liege.GetTitledFirstName] will make me it!;;;;;;;;;x 
EVTOPTA73223;I await [Root.Liege.GetHerHis] reply eagerly.;;;;;;;;;x 
EVTTOOLTIP73224;will listen to our petition and hopefully make a wise choice;;;;;;;;;x 
