#CODE;ENGLISH;;;;;;;;;x 
EVTOPTC72056;Some gold will keep the servants quiet.;;;;;;;;;x 
VASSAL_RAISE_OPINION_DESC;For every §Y$DAYS$§! days that a vassal levy is raised during an offensive non-Crusade war, the vassal will get a §R-1§! Opinion of you;;;;;;;;;x 
WAR_START_YEAR;Start year: $YEAR$;;;;;;;;;x 
WAR_START_YEAR_DESC;This war has lasted $YEARS$ years(s) and $MONTHS$ month(s);;;;;;;;;x 
LEVY_PERC_DESC3;$THEM$ reserves §Y$PERC$%§! of each troop type as personal levy;;;;;;;;;x 
DYNFAIL_DESC;With a score of $SCORE$, you have not accomplished anything of note.;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2B;Since we have a claim on it, our vassals will not object.;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2C;Thanks to the crown authority in the §Y$CROWN_TITLE$§!, our vassals cannot object.;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2D;Since §Y[Recipient.GetTitledFirstName]§! is a traitor, our vassals will not object.;;;;;;;;;x 
REVOKE_TITLE_INTERACTION_2E;Since §Y[Recipient.GetTitledFirstName]§! is a filthy §Y[Recipient.Religion.GetName]§!, our vassals will not object.;;;;;;;;;x 
#VASSAL_OPINION_CHANGE;All vassals' opinion of §Y$ABOUT$§! changed by $MUCH$.\n;;;;;;;;;x 
LOADING_TIP_28;Buy a Papal Indulgence to gain more Piety.;;;;;;;;;x 
#LOADING_TIP_49;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;;;;;;;;;x 
mission_holy_war_desc;The $ROOT_CHARACTERTITLE$has called for a $CRUSADE_NAME$ to take §Y$PROVINCE$§! from the §Y$TOPOWNERFULLNAME$§W!;;;;;;;;;x 
TOO_MANY_HELD_DUCHIES;Too Many Held Duchies;;;;;;;;;x 
opinion_failed_plot;Failed Plot;;;;;;;;;x 
e_il-khanate_adj;Mongol;;;;;;;;;x 
AIREASON_WILL_NOT_PLOT_AGAINST_OFFSPRING;Will not Plot against Offspring.;;;;;;;;;x 
AIREASON_CLAIM_ON_MY_TITLES;§Y[GetBestName]§! has claims on my titles.;;;;;;;;;x 
AIREASON_HOSTAGE_SITUATION;Child would be a hostage in a foreign power;;;;;;;;;x 
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0;Ask §Y[Actor.RelHead.GetTitledFirstName]§W to lift the excommunication of §Y[ThirdPartyCharacter.GetBestName]§W. This will cost you §R$COST$§W Piety.;;;;;;;;;x 
