#CODE;ENGLISH;;;;;;;;;x 
EVTDESC60010;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Catholic faith!;;;;;;;;;x 
EVTDESC60011;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Orthodox faith!;;;;;;;;;x 
EVTDESC60012;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Sunni faith!;;;;;;;;;x 
EVTDESC60013;The great [Root.GetTitledName] and all [Root.GetHerHis] vassals have converted and embraced the Shiite faith!;;;;;;;;;x 
MONTHLY_PROJECTED_COST;Projected Montly Cost: §Y$COST$§!;;;;;;;;;x 
YEARLY_PROJECTED_COST;Projected Yearly Cost: §Y$COST$§!;;;;;;;;;x 
PER_MONTH;§Y$VAL$§! / Month;;;;;;;;;x 
AIREASON_KINGDOMS_DONT_ACCEPT_VASSALAGE;I am a King!;;;;;;;;;x 
ACCEPT;Accept;;;;;;;;;x 
DECLINE;Decline;;;;;;;;;x 
HAS_LESS_RAISED_TROOP_DAYS;Troops Raised less than §Y$DAYS$§! days\n;;;;;;;;;x 
HAS_MORE_RAISED_TROOP_DAYS;Troops Raised for at least §Y$DAYS$§! days\n;;;;;;;;;x 
SET_RAISED_TROOP_OPINION;§Y$ACTIVE$'s§! raised levy opinion days vs §Y$PASSIVE$§! set to §Y$MUCH$§!.\n;;;;;;;;;x 
CONTESTED_TITLE;Contested title: $TITLE$;;;;;;;;;x 
THREAT_REASON_HATRED;Low Opinion;;;;;;;;;x 
THREAT_REASON_LOVE;High Opinion;;;;;;;;;x 
THREAT_REASON_CB;Casus Belli;;;;;;;;;x 
THREAT_REASON_PRETENDER;Pretender;;;;;;;;;x 
THREAT_REASON_CLAIMANT;Claimant;;;;;;;;;x 
THREAT_REASON_DISTANCE;Distance;;;;;;;;;x 
THREAT_LIEGE_CULTURE;Same Culture;;;;;;;;;x 
THREAT_LIEGE_RELIGION;Same Religion;;;;;;;;;x 
THREAT_LIEGE_DEJURELIEGE;DeJure Liege;;;;;;;;;x 
INGAME_STORE;Ingame Store;;;;;;;;;x 
tut_3c_6;Multilayered Laws;;;;;;;;;x 
tut_3c_7;When you open the laws screen, you will see the ducal laws of Brittany. Brittany is de jure a part of France though, so the crown laws of france will affect you too. To see how, you need to click the shield to the upper right.;;;;;;;;;x 
tut_3c_8;Multilayered Laws II;;;;;;;;;x 
tut_3c_9;There are the laws in France that might affect Brittany. On the top part you can see the succesion laws France is using, and also the crowns laws on the bottom half. Click next to end this part.;;;;;;;;;x 
REINFORCE_TOOLTIP;Next month, $NUM$ new soldier(s) will have been recruited;;;;;;;;;x 
other_claim_desc;This Casus Belli can be used by §Y$PRESSER$§! to press §Y$CLAIMANT$'s§! claim on the §Y$TITLE$§!.\nIf §Y$PRESSER$§! and §Y$CLAIMANT$§! are of the same dynasty, or if §Y$PRESSER$§! is de jure liege of §Y$TITLE$§!, §Y$CLAIMANT$§! will also become a vassal of §Y$PRESSER$§!.;;;;;;;;;x 
TECH_GROWTH_PROG_SETUP;Advancement Progress in Demesne;;;;;;;;;x 
TECH_GROWTH_PROG_LOG;Progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!;;;;;;;;;x 
TECH_GROWTH_REALM_SETUP;Advancement in Realm;;;;;;;;;x 
TECH_GROWTH_REALM_LOG;Local knowledge of $TECH$ in $PROV$ increased to level §Y$LEVEL$§!;;;;;;;;;x 
TECH_GROWTH_PROG_REALM_SETUP;Advancement Progress in Realm;;;;;;;;;x 
TECH_GROWTH_PROG_REALM_LOG;Local progress of $TECH$ advancement in $PROV$ increased to §Y$PROG$§!;;;;;;;;;x 
LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;;;;;;;;;x 
LOADING_TIP_49;Carefully check the traits of your wife;;;;;;;;;x 
EVTDESC3340;I almost swallowed my tongue when a friendly courtier paid his respects to me. He thought I was displeased with him and he left perplexed.;;;;;;;;;x 
EVTOPTA3340;I think I lost his respect...;;;;;;;;;x 
alert_dejure_claim_instant;§YYou can Press de jure Ducal Claims§!;;;;;;;;;x 
alert_dejure_claim_delayed;The following de jure ducal claims can be pressed: $LIST$;;;;;;;;;x 
PRESSABLE_CLAIM;$COUNTY$, for $CLAIMANT$;;;;;;;;;x 
OPT_draw_trees;Render trees;;;;;;;;;x 
OPT_draw_rivers;Render rivers;;;;;;;;;x 
OPT_draw_citysprawl;Render city sprawl;;;;;;;;;x 
tut_4c_11;Marriage Effects;;;;;;;;;x 
OPT_legacy_shaders;Legacy graphics mode;;;;;;;;;x 
