#CODE;ENGLISH;;;;;;;;;x 
AIREASON_ALL_HELP_IS_APPRECIATED;All help is appreciated;;;;;;;;;x 
RULER_JOINS_ENEMY_WAR_SETUP;A Ruler Joins a War against us;;;;;;;;;x 
RULER_JOINS_ENEMY_WAR_LOG;§Y$WHO$§! has joined §Y$ENEMY$§! in the §Y$WAR$§!;;;;;;;;;x 
joined_my_war;Joined my War;;;;;;;;;x 
#d_venetian_navy;Venetian Navy;;;;;;;;;x 
#d_venetian_navy_adj;Venetian;;;;;;;;;x 
#d_genoese_navy;Genoese Navy;;;;;;;;;x 
#d_genoese_navy_adj;Genoese;;;;;;;;;x 
#d_hanseatic_navy;Hanseatic Navy;;;;;;;;;x 
#d_hanseatic_navy_adj;Hanseatic;;;;;;;;;x 
#d_frisian_navy;Frisian Navy;;;;;;;;;x 
#d_frisian_navy_adj;Frisian;;;;;;;;;x 
d_maghreb_corsairs;Maghreb Navy;;;;;;;;;x 
d_maghreb_corsairs_adj;Maghreb;;;;;;;;;x 
k_frisia;Frisia;;;;;;;;;x 
k_frisia_adj;Frisian;;;;;;;;;x 
#k_lotharingia;Lotharingia;;;;;;;;;x 
#k_lotharingia_adj;Lotharingian;;;;;;;;;x 
k_pomerania;Pomerania;;;;;;;;;x 
k_pomerania_adj;Pomeranian;;;;;;;;;x 
k_bavaria;Bavaria;;;;;;;;;x 
k_bavaria_adj;Bavarian;;;;;;;;;x 
PLOT_TO_MURDER;Plot to Murder;;;;;;;;;x 
INITIAL_PLOT_POWER;Initial Plot Power;;;;;;;;;x 
TITLE_RATING_LOWER_THAN;Held Title Rating less than ;;;;;;;;;x 
TITLE_RATING_AT_LEAST;Held Title Rating at least ;;;;;;;;;x 
LOADING_TIP_48;Nominating someone a Bishop will disqualify him from succession;;;;;;;;;x 
LOADING_TIP_50;Greedy and generally indulgent characters like gifts more;;;;;;;;;x 
AIREASON_EAGER_TO_MURDER;Amoral;;;;;;;;;x 
AIREASON_RELUCTANT_TO_MURDER;Moral Qualms;;;;;;;;;x 
TITLE_CANNOT_USURP_SAME_REALM;Cannot usurp a title from anyone in the same Realm unless you have a Strong Claim;;;;;;;;;x 
REASONING;Reasoning;;;;;;;;;x 
RulerDesignerDLC;Ruler Designer;;;;;;;;;x 
PLOT_CONDITION_FOR_YOU;Must be true for you;;;;;;;;;x 
PLOT_CONDITION_FOR_TARGET;Must be true for $TARGET$;;;;;;;;;x 
ALREADY_HAVE_AMBITION;Already striving to $PLOT$;;;;;;;;;x 
SEND_GIFT_INTERACTION_LONG_DESC;Sending an expensive gift to characters will improve their opinion of you by an amount depending on your State Diplomacy and their greed. Characters in your realm will not be quite as appreciative of gifts as outsiders.;;;;;;;;;x 
JOIN_ATTACKER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] offensive wars;;;;;;;;;x 
JOIN_DEFENDER_WARS_EFFECT;Will join [GetTitledName] in [GetPossPronoun] defensive wars;;;;;;;;;x 
IS_NOT_PRIMARY_WAR_ATTACKER;Is NOT the main attacker in a war;;;;;;;;;x 
IS_PRIMARY_WAR_ATTACKER;Is the main attacker in a war;;;;;;;;;x 
IS_NOT_PRIMARY_WAR_DEFENDER;Is NOT the main defender in a war;;;;;;;;;x 
IS_PRIMARY_WAR_DEFENDER;Is the main defender in a war;;;;;;;;;x 
SET_DE_JURE_LIEGE_EFFECT;The §Y$LIEGE$§! becomes the new De Jure liege title of the §Y$VASSAL$§!;;;;;;;;;x 
CONTRIBUTION_PERC_IRO;$CHAR$'s Contribution: §Y$PERC$%§! (§Y$SCORE$§!);;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_TITLE;Offer to Join War;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_DESC;Offer to join §Y[Recipient.GetBestName]§! in one of [Recipient.GetPossPronoun] wars.;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_LONG_DESC;You can offer to join rulers of your own religion in many types of wars.;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_0;Offer to join §Y[Recipient.GetBestName]§! in §Y$WAR$§!.;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_SETUP;Offer to Join War Accepted;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetBestName]§W accepted §Y[Actor.GetBestName]'s§W offer to join §Y$WAR$§!;;;;;;;;;x 
ASK_TO_JOIN_WAR_INTERACTION_DECLINE_SETUP;Offer to Join War Declined;;;;;;;;;x 
