#CODE;ENGLISH;;;;;;;;;x 
PLOT_POWER_CONTRIB_LOWER_THAN;Contribution to $PLOTTER$'s plot to $PLOT$ less than §Y$POWER$%§!\n;;;;;;;;;x 
PLOT_POWER_CONTRIB_AT_LEAST;Contribution to $PLOTTER$'s plot to $PLOT$ at least §Y$POWER$%§!\n;;;;;;;;;x 
#INTERACTION_CANNOT_JOIN_VASSAL_WAR;We cannot join our vassals' wars (except for Crusades/Jihads);;;;;;;;;x 
KILLER;Killer;;;;;;;;;x 
ANY_SPOUSE_STARTS;Any Spouse;;;;;;;;;x 
IS_MAIN_SPOUSE;Is the First Spouse;;;;;;;;;x 
IS_NOT_MAIN_SPOUSE;Is NOT the First Spouse;;;;;;;;;x 
CONQUEST_CULTURE_EFFECT;Subjugated by §Y$CULTURE$§! Culture\n;;;;;;;;;x 
CONQUEST_CULTURE_EFFECT_FREED;Freed from the §Y$CULTURE$§! yoke\n;;;;;;;;;x 
MAKE_PRIMARY_SPOUSE_EFFECT;$WHO$ is made the First Spouse of $SPOUSE$.\n;;;;;;;;;x 
MAKE_NOT_PRIMARY_SPOUSE_EFFECT;$WHO$ is no longer the First Spouse of $SPOUSE$.\n;;;;;;;;;x 
HAVE_CONQUEST_CULTURE;Is subjugated by §Y$CULTURE$§! Culture\n;;;;;;;;;x 
HAVNT_CONQUEST_CULTURE;Is NOT subjugated by §Y$CULTURE$§! Culture\n;;;;;;;;;x 
DISMISS_ALLOW_DESCRIPTION;Can be dismissed if the following is true:\n;;;;;;;;;x 
DIPLO_OF_POPE;Religious Head Diplomacy;;;;;;;;;x 
INTERACTION_REQUIRES_FEWER_WIVES;§Y$CHAR$§W has fewer than §Y$NUM$§W wives;;;;;;;;;x 
INTERACTION_REQUIRES_NO_OTHER_MARRIAGE;§Y$CHAR$§W is unmarried;;;;;;;;;x 
INTERACTION_REQUIRES_NO_TRUCE_OR_REV_REASON;Must have a special revoke reason if we have a Truce;;;;;;;;;x 
INTERACTION_VALID_REASON;Since you have a valid reason, no one will care.;;;;;;;;;x 
tribal_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.;;;;;;;;;x 
decadence_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!.;;;;;;;;;x 
title_food_taster;Food Taster;;;;;;;;;x 
title_food_taster_desc;Food tasters have the dubious pleasure of trying all dishes before their master has a bite...;;;;;;;;;x 
title_court_calligrapher;Court Calligrapher;;;;;;;;;x 
title_court_calligrapher_desc;Islamic suspicion of figurative art makes skilled calligraphers highly respected.;;;;;;;;;x 
title_court_musician;Court Musician;;;;;;;;;x 
title_court_musician_desc;The Court Musician is always ready to entertain with soothing or stirring music.;;;;;;;;;x 
title_court_poet;Court Poet;;;;;;;;;x 
title_court_poet_desc;Islamic poets enjoy a great deal of respect and prestige, often religious, but sometimes pushing the limits of what is acceptable under Islam.;;;;;;;;;x 
title_chief_architect;Chief Architect;;;;;;;;;x 
title_chief_architect_desc;The Chief Architect is responsible for designing and overseeing the construction of palaces, mosques and grand monuments.;;;;;;;;;x 
title_chief_qadi;Chief Qadi;;;;;;;;;x 
title_chief_qadi_desc;The Chief Qadi is the supreme judge and authority of the Law (Sharia) in the realm. The most prestigious of all Muslim honorary titles, it is only open to characters with a proper religious education.;;;;;;;;;x 
title_court_dwarf;Court Dwarf;;;;;;;;;x 
title_court_dwarf_desc;Dwarves are objects of fascination and curiosity. Having one at court is a matter of prestige.;;;;;;;;;x 
job_spiritual_muslim;Court Imam;;;;;;;;;x 
job_spiritual_shiite;Court Mullah;;;;;;;;;x 
job_chancellor_iranian;Grand Vizier;;;;;;;;;x 
job_chancellor_turkish;Grand Vizier;;;;;;;;;x 
PROV911;Timbuktu;;;;;;;;;x 
PROV912;Aoudaghost;;;;;;;;;x 
PROV913;Ghana;;;;;;;;;x 
PROV914;Gao;;;;;;;;;x 
PROV915;Djenné;;;;;;;;;x 
PROV916;Taghaza;;;;;;;;;x 
PROV917;Araouane;;;;;;;;;x 
PROV918;Sijilmasa;;;;;;;;;x 
PROV919;Oualata;;;;;;;;;x 
PROV920;Ouadane;;;;;;;;;x 
PROV921;Idjil;;;;;;;;;x 
PROV922;Tadmekka;;;;;;;;;x 
PROV923;Adrar Plateau;;;;;;;;;x 
PROV924;Western Sahara;;;;;;;;;x 
PROV925;Mali;;;;;;;;;x 
PROV926;Bambuk;;;;;;;;;x 
PROV927;Zarma;;;;;;;;;x 
PROV928;Gurma;;;;;;;;;x 
TITLE_CREATION_EMPEROR_DESC;You need to control §Y$REQ_PERC$%§! of its de jure Counties to create this title. Currently, you control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! $PIETYNAME$.;;;;;;;;;x 
c_ifni_adj;Taroudanti;;;;;;;;;x 
c_tharasset_adj;Tamdoulti;;;;;;;;;x 
e_persia;Persian Empire;;;;;;;;;x 
e_persia_adj;Persian;;;;;;;;;x 
e_arabia;Arabian Empire;;;;;;;;;x 
e_arabia_adj;Arabian;;;;;;;;;x 
k_volga_bulgaria;Volga Bulgaria;;;;;;;;;x 
k_volga_bulgaria_adj;Volga Bulgarian;;;;;;;;;x 
k_perm;Perm;;;;;;;;;x 
k_perm_adj;Permian;;;;;;;;;x 
k_taurica;Taurica;;;;;;;;;x 
k_taurica_adj;Taurican;;;;;;;;;x 
k_alania;Alania;;;;;;;;;x 
k_alania_adj;Alanian;;;;;;;;;x 
k_khiva;Khiva;;;;;;;;;x 
k_khiva_adj;Khivan;;;;;;;;;x 
e_britannia;Britannia;;;;;;;;;x 
e_britannia_adj;British;;;;;;;;;x 
