#CODE;ENGLISH;;;;;;;;;x 
ADD_AMBITION_EFFECT;$CHAR$ gains the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
CANCEL_AMBITION_EFFECT;$CHAR$ loses the ambition §Y$OBJECTIVE$§!\n;;;;;;;;;x 
ADD_PLOT_EFFECT;$CHAR$ gains the plot §Y$OBJECTIVE$§!\n;;;;;;;;;x 
CANCEL_PLOT_EFFECT;$CHAR$ loses the plot §Y$OBJECTIVE$§!\n;;;;;;;;;x 
HAS_AMBITION;Has Ambition;;;;;;;;;x 
HAS_AN_AMBITION;Has an Ambition;;;;;;;;;x 
HAS_NO_AMBITION;Has no Ambition;;;;;;;;;x 
HAS_CONFLICTING_AMBITION;Has conflicting Ambition with $CHAR2$.;;;;;;;;;x 
REL_PENTARCHS;Pentarchs;;;;;;;;;x 
REL_PENTARCHS_DESC;The Pentarchs were the original five Patriarchs of the Christian Church. Their authority as autocephalous Patriarchs over their respective ancient sees is still recognized within the Orthodox church. All five Orthodox Pentarchs must exist in order to heal the Great Schism within Christianity (Catholicism vs Orthodoxy).;;;;;;;;;x 
opinion_liege_vs_faction;Faction Member;;;;;;;;;x 
AI_DEFENDING_AGAINST_EXTERNAL_THREAT;I am under attack by a dangerous external Power;;;;;;;;;x 
BM_KOMNENOS_DYNASTY;The Alexiad;;;;;;;;;x 
BM_KOMNENOS_DYNASTY_DESC;After a series of devastating losses to invading Turkish forces, the Byzantine Empire is reeling. But there is hope - the great general Alexios Komnenos has just seized the throne from the corrupt Nikephoros III. Alexios - whose life was documented by his daughter Anna in 'the Alexiad' - and his successors would halt the decline of the Empire and push back the Turkish invaders from western Anatolia, buying more time for the ailing remnants of the old Roman Empire. For now, Anatolia is ruled by Suleyman I, a member of the Seljuk dynasty, who arrogantly calls his new state the 'Sultanate of Rum' (Rome).;;;;;;;;;x 
BM_THE_LATIN_EMPIRE;The Latin Empire;;;;;;;;;x 
BM_THE_LATIN_EMPIRE_DESC;The notorious and ill fated Fourth Crusade, which was supposed to retake Jerusalem after an invasion through Egypt, was instead derailed by scheming Venetians, corrupt leaders and the deposed Byzantine Emperor Alexios IV, seeking to regain his lost throne. The result was the tragic sack of Constantinople and the subsequent establishment of the so called Latin Empire. Almost none of the Crusaders even reached the Holy Land. Meanwhile, the infamous King John, brother of Richard the Lionheart, rules in England, and the Christian states of Spain face off against the powerful Almohad dynasty.;;;;;;;;;x 
MARRIAGEEFFECT_MAT;§Y$WHO$§! marries §Y$SPOUSE$§! matrilineally.\n;;;;;;;;;x 
HAS_PLOT;Has Plot;;;;;;;;;x 
I_SEE;I see...;;;;;;;;;x 
NOT_DEFENDING_AGAINST_CLAIMANT;Is NOT defending §Y$TITLE$§! against claimant §Y$CLAIMANT$§!;;;;;;;;;x 
DEFENDING_AGAINST_CLAIMANT;Is defending §Y$TITLE$§! against claimant §Y$CLAIMANT$§!;;;;;;;;;x 
AT_WAR_OVER_TITLE_NOT;War does NOT involve the §Y$TITLE$§!;;;;;;;;;x 
AT_WAR_OVER_TITLE;War involves the §Y$TITLE$§!;;;;;;;;;x 
nick_the_jackal;the Jackal;;;;;;;;;x 
opinion_foreign_conqueror;Foreign Conqueror;;;;;;;;;x 
IS_CONQUERED;Is Conquered;;;;;;;;;x 
IS_NOT_CONQUERED;Is NOT Conquered;;;;;;;;;x 
CANCEL_AMBITION;Cancel Ambition;;;;;;;;;x 
CANNOT_START_NEW_FOR_YEARS;If you cancel your Ambition, you can not pick a new one for §R$YEARS$§! years.;;;;;;;;;x 
HAS_A_PLOT;Has a Plot;;;;;;;;;x 
HAS_NO_PLOT;Has no Plot;;;;;;;;;x 
TITLE_CREATION_REQ_KINGDOMS;You need to hold at least §Y$KINGDOMS$§! Kingdom titles.;;;;;;;;;x 
HAS_CONFLICTING_PLOT;Has conflicting Plot with $CHAR2$;;;;;;;;;x 
CANNOT_CHANGE_PLOT;I cannot change Plot until §Y$DATE$§W!;;;;;;;;;x 
alert_no_ambition_delayed;You should pick an Ambition;;;;;;;;;x 
CLICK_TO_SELECT_PLOT;Click to choose a Plot;;;;;;;;;x 
CLICK_TO_SELECT_AMBITION;Click to choose an Ambition;;;;;;;;;x 
SELECT_AMBITION_DESC;You should pick an Ambition in life for your character - success will confer various perks.;;;;;;;;;x 
SELECT_PLOT_DESC;You can start a Plot - though beware if your Intrigue skill is low or your Spymaster is not trustworthy.;;;;;;;;;x 
SUCCESS_CONDITION;Success Condition;;;;;;;;;x 
SUCCESS_EFFECT;Success Effect;;;;;;;;;x 
SELECT_PLOT_NO_AVAILABLE;There are currently no suitable Plots available;;;;;;;;;x 
FACTIONS;Factions;;;;;;;;;x 
JOIN_FACTION;Join Faction;;;;;;;;;x 
JOIN_FACTION_DESC;Membership in a faction means you must abide by the faction leader's decisions. If the faction is headed for open revolt, you cannot decline to join in the war.;;;;;;;;;x 
LEAVE_FACTION;Leave Faction;;;;;;;;;x 
FACTION_POWER;Strength: $MEN$ Men ($PERC$% of Liege);;;;;;;;;x 
LEADS_FACTION;Leads faction '§Y$FACTION$§!';;;;;;;;;x 
LEADS_A_FACTION;Leads a Faction;;;;;;;;;x 
LEADS_NO_FACTION;Leads no Faction;;;;;;;;;x 
IN_FACTION;In faction '§Y$FACTION$§!';;;;;;;;;x 
IN_A_FACTION;In a Faction;;;;;;;;;x 
IN_NO_FACTION;In no Faction;;;;;;;;;x 
HAS_LOWER_FACTION_POWER;Faction Strength is less than §Y$VAL$%§W of Liege.;;;;;;;;;x 
HAS_HIGHER_FACTION_POWER;Faction Strength is at least §Y$VAL$%§W of Liege.;;;;;;;;;x 
ANY_FACTION_BACKER_STARTS;Any Faction Backer;;;;;;;;;x 
LegacyOfRomeDLC;Legacy of Rome;;;;;;;;;x 
COMPLETELY_CONTROLLED;The §Y$TITLE$§! is completely controlled;;;;;;;;;x 
NOT_COMPLETELY_CONTROLLED;The §Y$TITLE$§! is NOT completely controlled;;;;;;;;;x 
GOOD;Good;;;;;;;;;x 
OPINION_OF_CHAR_AS_LIEGE;Opinion of §Y$CHAR$§! (as Liege);;;;;;;;;x 
RULER_HAS_MOVED_CAPITAL;§Y[GetTitledFirstName]§! is not allowed to move the capital again in [GetPossPronoun] lifetime - unless it's back to the traditional capital of [PrimaryTitle.GetName].;;;;;;;;;x 
RULER_CAN_MOVE_CAPITAL_TO_OLD;Even though §Y[GetTitledFirstName]§! has already changed capital once, [GetSubjectPronoun] is allowed to move it here since it's the old capital of [PrimaryTitle.GetName].;;;;;;;;;x 
CAN_ONLY_LEAD_X_FACTIONS;Only allowed to lead §Y$NUM$§! Factions!;;;;;;;;;x 
START_FACTION_DESC;You are only allowed to lead §Y$NUM$§! Factions. Choose wisely.;;;;;;;;;x 
PATRIARCHATE_TITLE;Patriarchate of $TITLE$;;;;;;;;;x 
e_roman_empire;Roman Empire;;;;;;;;;x 
e_roman_empire_adj;Roman;;;;;;;;;x 
ANY_CLAIMANT_STARTS;Any Claimant;;;;;;;;;x 
TRIGGER_SENIORITY_HEIR;The Seniority Heir;;;;;;;;;x 
TRIGGER_PRIMOGENITURE_HEIR;The Primogeniture Heir;;;;;;;;;x 
#PENTARCH_DESC;There is currently no Orthodox Bishop of §Y$TITLE$§!;;;;;;;;;x 
AUTOCEPHALOUS_PATRIARCHS;Autocephalous Patriarchs;;;;;;;;;x 
