#CODE;ENGLISH;;;;;;;;;x 
FACTION_LEADER;Faction Leader;;;;;;;;;x 
FACTION_MEMBER;Faction Member;;;;;;;;;x 
opinion_defeated_major_revolt;Crushed a Major Revolt;;;;;;;;;x 
opinion_spared_after_revolt;Spared after Rebellion;;;;;;;;;x 
opinion_divine_blood_marriage;Divine Marriage;;;;;;;;;x 
opinion_non_divine_marriage;Profane Marriage;;;;;;;;;x 
action_uncover_plots;Scheme;;;;;;;;;x 
miaphysite;Miaphysite;;;;;;;;;x 
monothelite;Monothelite;;;;;;;;;x 
k_miaphysite;The Miaphysite Papacy;;;;;;;;;x 
k_miaphysite_adj;Coptic Papal;;;;;;;;;x 
COPTIC_POPE;Coptic Pope;;;;;;;;;x 
INTERACTION_CANNOT_REVOKE_LAST_TEMPLE_OFF_REL_HEAD;Cannot revoke the last Temple Holding from your religious head.;;;;;;;;;x 
k_monophysite;The Monophysite Papacy;;;;;;;;;x 
k_monophysite_adj;Monophysite Papal;;;;;;;;;x 
MONOPHYSITE_POPE;Monophysite Pope;;;;;;;;;x 
k_nestorian;The Patriarchate of the East;;;;;;;;;x 
k_nestorian_adj;Eastern Patriarchal;;;;;;;;;x 
PATRIARCH_IN_THE_EAST;Patriarch of the East;;;;;;;;;x 
k_monothelite;The Monothelite Patriarchate;;;;;;;;;x 
k_monothelite_adj;Monothelite Patriarchal;;;;;;;;;x 
MONOTHELITE_PATRIARCH;Monothelite Patriarch;;;;;;;;;x 
INTERACTION_TITLE_NOT_CONTESTED;Title cannot be the target or justification for any ongoing war;;;;;;;;;x 
AND_TRIGGER_STARTS;All of the following must be true;;;;;;;;;x 
WAR_INVALID_LOG;$WAR$ has ended inconclusively$REASON$;;;;;;;;;x 
WAR_INVALID_CHARACTER_UNLANDED;\n($CHARACTER$ became unlanded);;;;;;;;;x 
WAR_INVALID_LIEGE_HIERARCHY;\n(Liege Changes for $CHARACTER$);;;;;;;;;x 
REL_PENTARCHS_NON_ORTHODOX_DESC;The Pentarchs were the original five Patriarchs of the Christian Church. Their authority as autocephalous Patriarchs over their respective ancient sees is still recognized within the $RELIGION$ church.;;;;;;;;;x 
PENTARCH_DESC;There is currently no $RELIGION$ Bishop of §Y$TITLE$§!;;;;;;;;;x 
HEAD_NOT_PENTARCH_DESC;$REL_HEAD$ does not currently hold §Y$TITLE$§!;;;;;;;;;x 
AUTOCEPHALY_DRO;Apart from the original five Patriarchs - the Pentarchy - all other $RELIGION$ kingdoms or empires also have their own autonomous Patriarchs. The Court Chaplain of such a kingdom or empire is also considered the Patriarch of that realm. He will always do what his liege asks of him, but only the $REL_HEAD_TITLE$ can grant the Invasion Casus Belli. Each autocephalous Patriarch controls Excommunication within their respective realm.;;;;;;;;;x 
LEAVE_FACTION_DIPLO_IMMUNE;Cannot leave once an ultimatum has been presented!;;;;;;;;;x 
IS_DIPLO_IMMUNE;Is immune to hostile Liege actions;;;;;;;;;x 
IS_NOT_DIPLO_IMMUNE;Is NOT immune to hostile Liege actions;;;;;;;;;x 
INTERACTION_NO_HOSTILE_ACTIONS_VS_DIPLO_IMMUNE;[Recipient.GetTitledFirstName] is currently immune to hostile actions!;;;;;;;;;x 
#SPAWN_UNIT_EFFECT;A §Y$NUM_TROOPS$§!-man regiment arrives in §Y$WHERE$§!.\n;;;;;;;;;x 
#SPAWN_UNIT_EFFECT_SHIPS;§Y$NUM_SHIPS$§! ships arrive in §Y$WHERE$§!.\n;;;;;;;;;x 
NO_FACTIONS_POSSIBLE_NOW;There are no possible Factions to start at this time;;;;;;;;;x 
INTERACTION_CANNOT_JOIN_ENEMIES;Cannot join our current enemies' wars;;;;;;;;;x 
