#CODE;ENGLISH;;;;;;;;;x 
REL_CAPTOR;Captor;;;;;;;;;x 
PALACE_NAME;$DYNASTY$ Palace;;;;;;;;;x 
family_palace;Palace;;;;;;;;;x 
family_palace_baron;Patrician;;;;;;;;;x 
family_palace_baron_female;Lady;;;;;;;;;x 
family_palace_barony_of;Palace of;;;;;;;;;x 
family_palace_baron_foa;Sir;;;;;;;;;x 
family_palace_baron_deed;Chair of;;;;;;;;;x 
fp_mansion_1;Mansion;;;;;;;;;x 
fp_mansion_2;Great Mansion;;;;;;;;;x 
fp_mansion_3;Palace;;;;;;;;;x 
fp_mansion_4;Grand Palace;;;;;;;;;x 
fp_barracks_1;Guard Barracks;;;;;;;;;x 
fp_barracks_2;Swordsmith;;;;;;;;;x 
fp_barracks_3;Armory;;;;;;;;;x 
fp_stable_1;Small Stable;;;;;;;;;x 
fp_stable_2;Riding Grounds;;;;;;;;;x 
fp_stable_3;Horse Breeder;;;;;;;;;x 
fp_bowyer_1;Bowyer;;;;;;;;;x 
fp_bowyer_2;Target Range;;;;;;;;;x 
fp_bowyer_3;Crossbow Workshop;;;;;;;;;x 
fp_shipyard_1;Map Room;;;;;;;;;x 
fp_shipyard_2;Private Shipyard;;;;;;;;;x 
fp_shipyard_3;Naval Arsenal;;;;;;;;;x 
fp_warehouse_1;Military Warehouse;;;;;;;;;x 
fp_warehouse_2;Palace Archive;;;;;;;;;x 
fp_warehouse_3;Administrative Office;;;;;;;;;x 
fp_garden_1;Palace Garden;;;;;;;;;x 
fp_garden_2;Scenic Pond;;;;;;;;;x 
fp_garden_3;Hedge Maze;;;;;;;;;x 
fp_cellar_1;Wine Cellar;;;;;;;;;x 
fp_cellar_2;Catacombs;;;;;;;;;x 
fp_cellar_3;Dungeon Complex;;;;;;;;;x 
fp_shrine_1;Secluded Shrine;;;;;;;;;x 
fp_shrine_2;Private Art Collection;;;;;;;;;x 
fp_shrine_3;Grand Library;;;;;;;;;x 
fp_vault_1;Fortified Vault;;;;;;;;;x 
fp_vault_2;Secret Passages;;;;;;;;;x 
fp_vault_3;Hidden Chamber;;;;;;;;;x 
fp_mansion_1_desc;This mansion has belonged to this family for generations, and although it may not look very impressive, it has all the comforts of home.;;;;;;;;;x 
fp_mansion_2_desc;This mansion is impressive enough to command the respect of the surrounding countryside. It is clearly the home of someone important.;;;;;;;;;x 
fp_mansion_3_desc;A palace fit for a king, its shining towers can be seen from a league away on a clear day. Though it may only consist of brick and mortar, it is the beating heart of this entire dynasty.;;;;;;;;;x 
