#CODE;ENGLISH;;;;;;;;;x 
AIREASON_CAN_PAY_OWN_RANSOM;§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom;;;;;;;;;x 
AIREASON_MARRIAGE_DOES_NOT_MATCH_BETROTHAL;Marriage type does not match the betrothal;;;;;;;;;x 
appointment;Appointment;;;;;;;;;x 
AIREASON_WILL_NOT_BE_CONSORT_INFIDELS;§Y[GetTitledFirstName]§! must not become the concubine of an infidel;;;;;;;;;x 
SPLIT_IN_HALF_UNIT;Split in Half;;;;;;;;;x 
SPLIT_IN_HALF_UNIT_DRO;Split this unit into two units of approximately equal strength. Units with very large regiments may not be possible to split evenly.;;;;;;;;;x 
succ_appointment;Appointment;;;;;;;;;x 
succ_appointment_desc;On death, all titles revert back to the liege.;;;;;;;;;x 
papal_succession;Papal Succession;;;;;;;;;x 
succ_papal_succession;Papal Succession;;;;;;;;;x 
succ_papal_succession_desc;The Pope is elected by the College of Cardinals depending on age, piety, popularity and other factors.;;;;;;;;;x 
COMMANDER;Commander;;;;;;;;;x 
FAMILY_PALACE;Family Palace;;;;;;;;;x 
HAS_LOWER_SCORE_THAN;Has Lower Score than ;;;;;;;;;x 
HAS_HIGHER_SCORE_THAN;Has Score of at least ;;;;;;;;;x 
REP_HAS_FEWER_TPS_THAN;Republic has fewer than §Y$NUM$§! Trade Posts;;;;;;;;;x 
REP_HAS_MORE_TPS_THAN;Republic has at least §Y$NUM$§! Trade Posts;;;;;;;;;x 
IS_NOT_HISTORICAL;Is NOT historical;;;;;;;;;x 
IS_HISTORICAL;Is historical;;;;;;;;;x 
title_cardinal;Cardinal;;;;;;;;;x 
crushed_revolt;Crushed Revolt;;;;;;;;;x 
crushed_major_revolt;Crushed Major Revolt;;;;;;;;;x 
COLLEGE_OF_CARDINALS;The College of Cardinals;;;;;;;;;x 
expected_next_title_cardinal;Expected Next Cardinal;;;;;;;;;x 
expected_next_title_cardinal_tooltip;This bishop is probably next in line for a Cardinalship when one becomes available.;;;;;;;;;x 
best_candidate_title_cardinal;My Best Cardinal Candidate;;;;;;;;;x 
best_candidate_title_cardinal_tooltip;Of all the bishops in my realm, this one is the likeliest to get appointed Cardinal by the Pope.;;;;;;;;;x 
TITLE_GAINED_RELIGIOUS_SETUP;New Cardinal appointed.;;;;;;;;;x 
TITLE_GAINED_RELIGIOUS_LETTER;$NEWHOLDER$ was given a seat in the College of Cardinals.;;;;;;;;;x 
TITLE_GAINED_RELIGIOUS_LOG;$NEWHOLDER$ was given a seat in the College of Cardinals.;;;;;;;;;x 
alert_deficits_instant;§YBudget Deficit§!;;;;;;;;;x 
alert_deficits_delayed;Your coffers are empty and you owe your subjects money. The morale of your armies will suffer, and the longer this goes on, the more corruption and criminals will plague your counties.;;;;;;;;;x 
EVTDESC68000;I cannot afford to pay my magistrates and my debts to the lower classes are dangerously high. The peasants of [Root.GetName] are now completely disregarding my divine right to rule!;;;;;;;;;x 
EVTDESC68001;The peasants of [Root.GetName] are slowly starting to respect my rule again. I should never let my treasury go negative!;;;;;;;;;x 
EVTDESC68010;Due to my lack of funds to pay my sheriffs and magistrates with, a Thieves' Guild has been established in [Root.GetName].;;;;;;;;;x 
EVTDESC68020;My acute budget deficit has allowed a Smugglers' Ring to appear in [Root.GetName].;;;;;;;;;x 
EVTDESC68030;My underfunded sheriffs have allowed a large band of robbers to rise in [Root.GetName]. They are too craven to attack my castles though.;;;;;;;;;x 
EVTDESC315;My labor was difficult and I fear that something is wrong with me. The midwives look worried, and I feel so terribly weak...;;;;;;;;;x 
EVTOPTA315;I must pray to [Root.Religion.GetRandomGodName];;;;;;;;;x 
EVTDESC6062;Nana says I am not sick anymore.;;;;;;;;;x 
EVTOPTA6062;I can run!;;;;;;;;;x 
sickly;Sickly;;;;;;;;;x 
sickly_desc;This child was born sickly and might not survive infancy.;;;;;;;;;x 
sickly_death;a sickly infant;;;;;;;;;x 
REL_SISTER_WIFE;Sister-Wife;;;;;;;;;x 
REL_MOTHER_WIFE;Mother-Wife;;;;;;;;;x 
REL_DAUGHTER_WIFE;Daughter-Wife;;;;;;;;;x 
REL_BROTHER_HUSBAND;Brother-Husband;;;;;;;;;x 
REL_SON_HUSBAND;Son-Husband;;;;;;;;;x 
REL_FATHER_HUSBAND;Father-Husband;;;;;;;;;x 
jewish;Jewish;;;;;;;;;x 
samaritan;Samaritan;;;;;;;;;x 
karaite;Karaite;;;;;;;;;x 
THE_TORAH;The Torah;;;;;;;;;x 
THE_TANAKH;The Tanakh;;;;;;;;;x 
RANDOM_CHARACTER;Random Character;;;;;;;;;x 
jewish_DESC;Judaism is the oldest of the Abrahamic religions and its origins can be traced back all the way to the Bronze Age. The holiest city of this monotheistic faith is Jerusalem, which served as the capital of the ancient Kingdom of Israel.;;;;;;;;;x 
build_third_temple;Build the Third Temple;;;;;;;;;x 
build_third_temple_desc;The First and Second Holy Temples in Jerusalem were both destroyed by invading armies. Now that the city has finally been restored to Jewish rule, the time has come to begin construction of a Third Temple.;;;;;;;;;x 
EVTDESC_SoA_100;Construction of the Third Temple will begin immediately on Temple Mount overlooking Jerusalem. The design of the new temple is greater in scope than even King Solomon's fabled First Temple. Your architects estimate that the construction will take roughly four years. When it is finished, it will truly be a sight to see!;;;;;;;;;x 
EVTOPTA_SoA_100;Our people need but wait a little longer.;;;;;;;;;x 
EVTNAME_SoA_101;The Third Temple;;;;;;;;;x 
EVTDESC_SoA_101;The First Temple, built by King Solomon, was destroyed by the invading Babylonians. The Second Temple, built under the auspices of Cyrus the Great of Persia, was razed by the Romans after a terrible siege. The Third Temple, however, built by the great [FromFrom.GetTitledFirstName], shall stand for all eternity!\n\nFrom its position on Temple Mount, the magnificent building has become a dominant feature of Jerusalem, instantly recognizable from far away by travellers approaching the city. Truly, Solomon himself would have been moved to tears by the sight.;;;;;;;;;x 
EVTOPTA_SoA_101;It is beautiful.;;;;;;;;;x 
restore_high_priesthood;Restore the High Priesthood;;;;;;;;;x 
restore_high_priesthood_desc;The office of the Kohen Gadol - the High Priest of Judaism - has been vacant since the destruction of the Second Temple at the hands of the Romans. Now that the Third Temple has been built, perhaps a new High Priest should be appointed.;;;;;;;;;x 
create_israel;Create Israel;;;;;;;;;x 
create_israel_desc;It is time for the Children of Israel to found a new United Monarchy built around Jerusalem and the Promised Land, so that Jews may once more live together in peace and harmony.;;;;;;;;;x 
k_israel;Israel;;;;;;;;;x 
k_israel_adj;Israelites;;;;;;;;;x 
EVTTOOLTIP_SoA_102;The Kingdom of Israel is reborn.;;;;;;;;;x 
EVTNAME_SoA_102;The Promised Land;;;;;;;;;x 
EVTDESC_SoA_102;With Jerusalem and the Promised Land under Jewish control, the time is ripe for the creation of a new United Monarchy named Israel - like the great kingdom of ancient times under David and Solomon.\n\nThe long-suffering Jewish people are finally in control of their own destiny again. No longer shall the Holy Land be torn asunder by warring Christian and Muslim lords. May this new kingdom usher in an era of peace and prosperity for the region!;;;;;;;;;x 
EVTOPTA_SoA_102;Long live Israel!;;;;;;;;;x 
job_spiritual_jewish_group;Court Rabbi;;;;;;;;;x 
HEAD_KOHEN_GADOL;Kohen Gadol;;;;;;;;;x 
d_jewish;The Jewish High Priesthood;;;;;;;;;x 
d_jewish_adj;Jewish;;;;;;;;;x 
third_temple_construction;Construction on the Third Temple has begun.;;;;;;;;;x 
INTERACTION_GRANT_THEOCRACY_NEIGHBOR;New county theocracies must not border existing ones;;;;;;;;;x 
INTERACTION_GRANT_THEOCRACY_MAX;Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal theocracies. Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).;;;;;;;;;x 
INTERACTION_GRANT_REPUBLIC_MAX;Can only have §Y$MAX$§! (§Y$MAX_PERC$%§!) counties in vassal republics. Currently §Y$CURRENT$§! (§Y$CURRENT_PERC$%§!).;;;;;;;;;x 
DEATH_CHILDBIRTH;died in childbirth;;;;;;;;;x 
DEATH_POOR_HEALTH;died of poor health;;;;;;;;;x 
STILLBIRTH_SETUP;Stillbirth;;;;;;;;;x 
STILLBIRTH_LOG;§Y$MOTHER$§! gave birth to a stillborn little §Y$SEX$§!.;;;;;;;;;x 
religious_revolt_desc;Peasants of a different religion group can rise up to throw off oppression and spread their faith with fire and sword.;;;;;;;;;x 
lost_religious_revolt;Infidel Rebel Victories;;;;;;;;;x 
won_religious_revolt;Infidel Rebels Crushed;;;;;;;;;x 
PRIEST;priest;;;;;;;;;x 
IMAM_PRIEST;imam;;;;;;;;;x 
SHEIKH_PRIEST;sheikh;;;;;;;;;x 
MULLAH;mullah;;;;;;;;;x 
GODI;godi;;;;;;;;;x 
SHAMAN;shaman;;;;;;;;;x 
VOLHV;volhv;;;;;;;;;x 
AUGUR;augur;;;;;;;;;x 
HERBAD;herbad;;;;;;;;;x 
RABBI;rabbi;;;;;;;;;x 
NOTIFICATION_EVENT_SETUP;Notification Events;;;;;;;;;x 
CTT_CHRISTIAN_CRUSADES_UNLOCKED;The Crusading Era has Begun\n;;;;;;;;;x 
CTT_MUSLIM_JIHADS_UNLOCKED;The Great Jihad Era has Begun\n;;;;;;;;;x 
CTT_PAGAN_GHWS_UNLOCKED;The Pagan Great Holy War Era has Begun\n;;;;;;;;;x 
EVTNAME39660;Crusader Kings;;;;;;;;;x 
EVTDESC39660;Christian Pilgrims to the the Holy Land suffer all manner of abuse and the routes are not safe. In order to protect the pilgrims and secure Jerusalem for Christ and the faithful, His Holiness, [Root.GetTitledName], has accepted the possibility of an outright invasion by joint Christian forces. This signals a new era of large scale Christian holy wars - the Crusades.;;;;;;;;;x 
EVTOPTA39660;Deus Vult!;;;;;;;;;x 
EVTOPTB39660;Foolish Posturing!;;;;;;;;;x 
