#CODE;ENGLISH;;;;;;;;;x 
IS_NOT_LOVER_OF;Is NOT a Lover of §Y$WHO$§!;;;;;;;;;x 
IS_LOVER_OF;Is a Lover of §Y$WHO$§!;;;;;;;;;x 
HAS_LESS_SPOUSES_THAN;Has fewer spouses than ;;;;;;;;;x 
HAS_MORE_SPOUSES_THAN;Number of spouses at least ;;;;;;;;;x 
HAS_LESS_CONSORTS_THAN;Has fewer consorts than ;;;;;;;;;x 
HAS_MORE_CONSORTS_THAN;Number of consorts at least ;;;;;;;;;x 
HAS_LESS_LOVERS_THAN;Has fewer lovers than ;;;;;;;;;x 
HAS_MORE_LOVERS_THAN;Number of lovers at least ;;;;;;;;;x 
ANY_LOVER_STARTS;Any Lover;;;;;;;;;x 
AIREASON_AGE_DIFFERENCE;Difference in Age;;;;;;;;;x 
ANY_CLAIM_STARTS;Any Claim;;;;;;;;;x 
IS_PACIFIST;Is a Pacifist ;;;;;;;;;x 
IS_NOT_PACIFIST;Is NOT a Pacifist ;;;;;;;;;x 
EVTDESC_RoI_10003;My beloved [GetFromRelation] is showing every sign of being my reborn [GetFromReincarnationRelation] [From.Reincarnation.GetFirstName]. Little [From.GetFirstName] often speaks of [From.GetPossPronoun] old friends and family, even naming many correctly.;;;;;;;;;x 
conscript_merchant_ships;Conscript Merchant Ships;;;;;;;;;x 
conscript_merchant_ships_desc;With holdings overseas, my realm has a quite a bit of merchant shipping that can be conscripted in times of war - for a tidy sum of gold, of course...;;;;;;;;;x 
HAS_NO_OVERSEAS_HOLDINGS;Has NO overseas holdings;;;;;;;;;x 
HAS_OVERSEAS_HOLDINGS;Has overseas holdings;;;;;;;;;x 
OUT_OF_SUPPLIES;This unit has been out of supplies for;;;;;;;;;x 
MATCHMAKING_SERVER_HOST_TITLE;Host Game Settings;;;;;;;;;x 
SAMRAT_CHAKRAVARTIN;Samrat Chakravartin;;;;;;;;;x 
SAMRAJNI_CHAKRAVARTIN;Samrajni Chakravartin;;;;;;;;;x 
CHARVIEW_RELATIONS;Relations;;;;;;;;;x 
ADD_FRIEND_EFFECT;$WHO$ and §Y$OTHER$§W become close friends.\n;;;;;;;;;x 
REMOVE_FRIEND_EFFECT;The friendship between $WHO$ and §Y$OTHER$§W ends.\n;;;;;;;;;x 
ADD_RIVAL_EFFECT;$WHO$ and §Y$OTHER$§W become bitter rivals.\n;;;;;;;;;x 
REMOVE_RIVAL_EFFECT;The rivalry between $WHO$ and §Y$OTHER$§W ends.\n;;;;;;;;;x 
AIREASON_GLAD_TO_TAKE_HOSTAGE;Glad to Take Hostage;;;;;;;;;x 
convert_to_local_culture;Convert to Local Culture ([Root.Capital.Culture.GetName]);;;;;;;;;x 
convert_to_local_culture_desc;I catch myself thinking in the [Root.Capital.Culture.GetName] language all the time. I govern the [Root.Capital.Culture.GetName] people of [Root.Capital.GetName], but am I truly one of them?;;;;;;;;;x 
convert_to_local_religion;Convert to Local Religion ([Root.Capital.Religion.GetName]);;;;;;;;;x 
convert_to_local_religion_desc;The §Y[Root.Capital.Religion.GetName]§! people in §Y[Root.Capital.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert and embrace the glory of §Y[Root.Capital.Religion.GetRandomGodName]§!...;;;;;;;;;x 
e_india;India;;;;;;;;;x 
EVTDESC_RoI_403;Ganges is the embodiment of all sacred waters in Hindu mythology and is personified in the goddess Ganga. As you live fairly close to this great river, your Upadhyaya suggests that you make a visit.;;;;;;;;;x 
EVTOPTA_RoI_403;I will go.;;;;;;;;;x 
EVTOPTB_RoI_403;I have no time.;;;;;;;;;x 
EVTDESC_RoI_404;You have arrived at the banks of the Ganges. You enter a temple at the banks of the river, avoiding the throng of the common pilgrims. The sacred waters offer a ritual of purification and will strengthen your link to the divine.;;;;;;;;;x 
EVTOPTA_RoI_404;I descend into the water and Ganga washes away my sins.;;;;;;;;;x 
EVTDESC_RoI_3150;Your court guru doesnt' talk much. He gives strange advice and has also been caught drinking on several occasions. You're beginning to doubt that he's a real guru.;;;;;;;;;x 
EVTOPTA_RoI_3150;I must investigate this.;;;;;;;;;x 
EVTOPTB_RoI_3150;Who cares?;;;;;;;;;x 
EVTDESC_RoI_3151;You've had your court guru watched for several weeks. He secretly drinks and smokes herbs, he keeps sneaking out to pleasure houses in disguise, and spends the money he gets from donations on playing cards.;;;;;;;;;x 
EVTOPTA_RoI_3151;I must confront him.;;;;;;;;;x 
EVTOPTB_RoI_3151;Actually, that's my kind of guru.;;;;;;;;;x 
EVTDESC_RoI_3152;As you confront your court guru over his habits, he breaks down and pleads for mercy: 'I confess, I'm an impostor. Please have mercy on me - I'm just a common man trying to make a living.';;;;;;;;;x 
EVTOPTA_RoI_3152;It's the dungeons for you!;;;;;;;;;x 
EVTOPTB_RoI_3152;Leave my palace now. Your charade is over.;;;;;;;;;x 
EVTDESC_RoI_3100;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a drunkard.' He bows and looks at you in silence.;;;;;;;;;x 
EVTOPTA_RoI_3100;I shall strive to improve.;;;;;;;;;x 
EVTOPTB_RoI_3100;Leave me alone.;;;;;;;;;x 
EVTOPTC_RoI_3100;No one speaks to me like that!;;;;;;;;;x 
EVTDESC_RoI_3101;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be such a hedonist.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3102;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be known as an impaler.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3103;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so lecherous and lustful.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3104;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be gluttonous.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3105;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so greedy.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3106;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be consumed by envy.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3107;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so wroth.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3108;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to have so much pride.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3109;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so arbitrary in [Root.GetHerHis] rule.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3110;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so cynical.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3111;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be so prone to cruelty.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3112;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to be a duelist and engage in violence for sport.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3113;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to hunt innocent animals for sport.' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_3114;You court guru has come to see you: 'I must speak to you of an important matter, [Root.GetLordLady] [Root.GetFirstName]... We must always seek wisdom and try to walk the righteous path in life. It is not fitting for a noble ruler to show so little trust in those around [Root.GetHerHim].' He bows and looks at you in silence.;;;;;;;;;x 
EVTDESC_RoI_410;Priests from a local Hindu temple have approached you, asking for donations. They need to expand the temple with a new building in order to accomodate the growing number of worshippers.;;;;;;;;;x 
EVTOPTA_RoI_410;I will help you. Make sure you put in a large Shiva statue.;;;;;;;;;x 
EVTOPTB_RoI_410;I will help you. Make sure you put in a large Vishnu statue.;;;;;;;;;x 
EVTOPTC_RoI_410;I will help you. Make sure you put in a large Brahma statue.;;;;;;;;;x 
EVTOPTD_RoI_410;I will help you. Make sure you put in a large Kali statue.;;;;;;;;;x 
EVTOPTE_RoI_410;I will help you. Make sure you put in a large Ganesha statue.;;;;;;;;;x 
EVTOPTF_RoI_410;I will help you. Make sure you put in a large Ganga statue.;;;;;;;;;x 
EVTOPTG_RoI_410;I will help you with a small donation.;;;;;;;;;x 
EVTOPTH_RoI_410;I'm sorry, I don't have the funds.;;;;;;;;;x 
EVTDESC_RoI_411;Monks from a local monastery have approached you, asking for donations. They need to accomodate the rising number of worshippers and still have enough provisions to maintain their other work and studies.;;;;;;;;;x 
EVTOPTA_RoI_411;Give them gold.;;;;;;;;;x 
EVTOPTB_RoI_411;Give them food.;;;;;;;;;x 
EVTOPTC_RoI_411;This is none of my concern.;;;;;;;;;x 
EVTDESC_RoI_412;There have been increasing complaints from merchants in the nearby town lately. It seems a number of naked Jain ascetics have taken to sit and preach in the main square. The merchants say they understand the need to respect other religions, but the naked ascetics are driving away customers and upsetting people's sensitivities.;;;;;;;;;x 
EVTOPTA_RoI_412;Why do you bother me with this petty nonsense?;;;;;;;;;x 
EVTOPTB_RoI_412;We will ask the ascetics to move to a less prominent location.;;;;;;;;;x 
EVTOPTC_RoI_412;My soldiers will throw these heathens out town!;;;;;;;;;x 
merchants_unhappy;The merchants are unhappy;;;;;;;;;x 
realm_jains_upset;Jains in your realm are upset.;;;;;;;;;x 
gambler;Gambler;;;;;;;;;x 
opinion_sacrilege;Sacrilegious Acts;;;;;;;;;x 
sacrilege_tooltip;This sacrilege will be widely known.;;;;;;;;;x 
EVTDESC_RoI_163;A priest from the local temple has arrived, asking speak with you: 'My [Root.GetLordLady], the holy elephants at the temple are all sick. However, we have learned that there is a healer in a neighboring province who is famous for healing ailing elephants. He is, however, most expensive...';;;;;;;;;x 
EVTOPTA_RoI_163;How unfortunate for you.;;;;;;;;;x 
EVTOPTB_RoI_163;I shall pay for it.;;;;;;;;;x 
EVTDESC_RoI_164;My [Root.GetLordLady], messengers have arrived from the great [From.GetFullName]. It seems [From.GetSheHe] has decided to honor you with the grandest of all gifts, a white elephant!;;;;;;;;;x 
EVTOPTA_RoI_164;I will accept this gracious gift.;;;;;;;;;x 
