#CODE;ENGLISH;;;;;;;;;x 
EVTDESC_RoI_10011;My [GetFromRelation] [From.GetFirstName], [From.Reincarnation.GetTitledFirstName] reborn, is acting more like [From.GetPossPronoun] previous incarnation every day! [From.GetFirstName] is definitely expressing another of [From.Reincarnation.GetFirstName]'s personality traits...;;;;;;;;;x 
form_the_hre;Form the Holy Roman Empire;;;;;;;;;x 
form_the_hre_desc;With a realm to rival that of Charlemagne, I could be recognized as his true successor and, invoking Translatio Imperii, have [Root.RelHead.GetBestName] crown me Emperor of a new Roman Empire in the west!;;;;;;;;;x 
buddhist_DESC;Buddhism was founded by the Buddha, Siddhartha Gautama, in Northeast India in the 5th century BC. The religion flourished in India for more than 1500 years, building huge libraries and monastery complexes, until Muslim invasions and the growing power of the Brahmin caste drove Buddhism out of the subcontinent. In the game, Buddhists get a significant bonus to Learning, meaning that they will research technologies faster.;;;;;;;;;x 
jain_DESC;Jainism is a religion of incredible antiquity, stemming from the ascetic Sramana tradition of India, in opposition to the priestly Brahmins and the caste system. The guiding principle of Jainism is Ahimsa - non-violence - which is more radically interpreted than in any other religion. In the game, Jains have a hard time waging offensive wars, but their remarkable tolerance means Jain rulers are well liked by all.;;;;;;;;;x 
IndiaDLC;Rajas of India;;;;;;;;;x 
TurkishUnitPackDLC;Turkish Unit Pack;;;;;;;;;x 
TurkishPortraitDLC;Turkish Portraits;;;;;;;;;x 
SongsOfIndiaDLC;Songs of India;;;;;;;;;x 
#opinion_vassal_king;Vassal King;;;;;;;;;x 
THREAT;Threat;;;;;;;;;x 
THREAT_FACTION_LEADER;Faction Leader: §Y$FACTION$§!;;;;;;;;;x 
THREAT_FACTION_MEMBER;Faction Member: §Y$FACTION$§!;;;;;;;;;x 
THREAT_ADVENTURER;Preparing an Adventure against me;;;;;;;;;x 
THREAT_PREPARING_INVASION;Preparing an Invasion against me;;;;;;;;;x 
alert_adventurer_threat_instant;§YAdventurer Threats§!;;;;;;;;;x 
alert_adventurer_threat_delayed;The following adventurers are targeting me:\n$LIST$;;;;;;;;;x 
alert_adventurer_threat_name;Adventurers Targeting me;;;;;;;;;x 
opinion_targeted_by_adventurer;Targeted for Invasion;;;;;;;;;x 
opinion_revoked_honorary_title;Revoked my Honorary Title;;;;;;;;;x 
holding_grand_hunt;Holding Grand Hunt;;;;;;;;;x 
TITLE_NOT_REVOKEABLE;Not Revokeable;;;;;;;;;x 
MODIFIER_VASSAL_OPINION;Vassal Opinion;;;;;;;;;x 
MODIFIER_LIEGE_OPINION;Liege Opinion;;;;;;;;;x 
MODIFIER_SEX_APPEAL_OPINION;Sex Appeal;;;;;;;;;x 
REVOKE_HONORARY_TITLE_INTERACTION_TITLE;Revoke Honorary Title;;;;;;;;;x 
REVOKE_HONORARY_TITLE_INTERACTION_DESC;Revoke an honorary title previously awarded to a character;;;;;;;;;x 
REVOKE_HONORARY_TITLE_INTERACTION_LONG_DESC;You can revoke honorary titles that you have awarded to characters, depriving them of the prestige and income from those titles.;;;;;;;;;x 
REVOKE_HONORARY_TITLE_INTERACTION_0;Select an honorary title to revoke from §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x 
REVOKE_HONORARY_TITLE_INTERACTION_1;Revoke the title of §Y[ThirdPartyTitle.GetFullName]§W from §Y[Recipient.GetTitledFirstName]§W. This will change [Recipient.GetPossPronoun] opinion of you by $OPINION$.;;;;;;;;;x 
