#CODE;ENGLISH;;;;;;;;;x 
#FILTER_SAME_REL;My Religion;;;;;;;;;x 
#FILTER_SAME_REL_GROUP;My Religion Group;;;;;;;;;x 
#FILTER_NOT_SAME_REL;Not My Religion;;;;;;;;;x 
#FILTER_NOT_SAME_REL_GROUP;Not My Religion Group;;;;;;;;;x 
#FILTER_ANY_REL;Any Religion;;;;;;;;;x 
#FILTER_SAME_CUL;My Culture;;;;;;;;;x 
#FILTER_SAME_CUL_GROUP;My Culture Group;;;;;;;;;x 
#FILTER_NOT_SAME_CUL;Not My Culture;;;;;;;;;x 
#FILTER_ANY_CUL;Any Culture;;;;;;;;;x 
#FILTER_NOT_SAME_CUL_GROUP;Not My Culture Group;;;;;;;;;x 
temple_baron_jewish;Rabbi;;;;;;;;;x 
temple_baron_samaritan;Rabbi;;;;;;;;;x 
temple_baron_karaite;Rabbi;;;;;;;;;x 
RETTYPE_CUL_NUBIAN;Nubian Archers;;;;;;;;;x 
ca_culture_nubian_1;Nubian Warrior Barracks;;;;;;;;;x 
ca_culture_nubian_2;Nubian Warrior Barracks;;;;;;;;;x 
ca_culture_nubian_3;Nubian Warrior Barracks;;;;;;;;;x 
ca_culture_nubian_4;Nubian Warrior Barracks;;;;;;;;;x 
ca_culture_nubian_1_desc;These barracks are where the ancient Nubian warrior traditions are nurtured and developed. Nubia has since ancient times been respected for its masterful archers, and other elite units of infantry are trained and drilled to support this potent weapon of the Nubian rulers.;;;;;;;;;x 
#NOT_VARIABLE;§Y$VAR$§! is less than §Y$VALUE$§!;;;;;;;;;x 
#VARIABLE;§Y$VAR$§! is at least §Y$VALUE$§!;;;;;;;;;x 
#SET_VARIABLE;Set §Y$VAR$§! to §Y$VALUE$§!;;;;;;;;;x 
#CHANGE_VARIABLE;Change §Y$VAR$§! with §Y$VALUE$§!;;;;;;;;;x 
#SUBTRACT_VARIABLE;Subtract §Y$VALUE$§! from §Y$VAR$§!;;;;;;;;;x 
#MULTIPLY_VARIABLE;Multiply §Y$VAR$§! with §Y$VALUE$§!;;;;;;;;;x 
#DIVIDE_VARIABLE;Divide §Y$VAR$§! with §Y$VALUE$§!;;;;;;;;;x 
#TRIGGER_DYNASTY_HEAD;Head of Dynasty;;;;;;;;;x 
#NUM_OF_MAX_SETTLEMENTS_AT_LEAST;Max holdings at least §Y$VAL$§!;;;;;;;;;x 
#NUM_OF_MAX_SETTLEMENTS_LESS_THAN;Max holdings less than §Y$VAL$§!;;;;;;;;;x 
#NUM_OF_EMPTY_HOLDINGS_AT_LEAST;Empty holdings at least §Y$VAL$§!;;;;;;;;;x 
#NUM_OF_EMPTY_HOLDINGS_LESS_THAN;Empty holdings less than §Y$VAL$§!;;;;;;;;;x 
#DONT_BORDERS_MAJOR_RIVER;Does NOT border major river;;;;;;;;;x 
#BORDERS_MAJOR_RIVER;Borders major river;;;;;;;;;x 
#SET_GRAPHICAL_CULTURE;Set graphical culture to §Y$NAME$§!;;;;;;;;;x 
