#CODE;ENGLISH;;;;;;;;;x 
e_germany;Germania;;;;;;;;;x 
e_germany_adj;German;;;;;;;;;x 
k_lotharingia;Middle Francia;;;;;;;;;x 
k_lotharingia_adj;Middle Francian;;;;;;;;;x 
LOTHARINGIA;Lotharingia;;;;;;;;;x 
LOTHARINGIA_ADJ;Lotharingian;;;;;;;;;x 
form_the_hre_early;Found the Holy Roman Empire;;;;;;;;;x 
form_the_hre_early_desc;Is it not every [Root.GetTitle]'s dream to be recognized as the true successor to the Caesars? I can invoke the translatio imperii and have [Root.RelHead.GetBestName] crown me as ruler of a new Roman Empire in the west!;;;;;;;;;x 
form_the_hre_early_tooltip_1;Is [Root.GetKingQueen] of Italy or [Root.GetEmperorEmpress] of Italia\n;;;;;;;;;x 
form_the_hre_early_tooltip_2;Holds at least one other kingdom or empire title\n;;;;;;;;;x 
form_the_hre_early_tooltip_3;No other Christian ruler is Emperor of Italia, Francia, Germania, Hispania or Britannia\n;;;;;;;;;x 
frankish;French;;;;;;;;;x 
old_frankish;Frankish;;;;;;;;;x 
old_saxon;Saxon;;;;;;;;;x 
lombard;Lombard;;;;;;;;;x 
somali;Somali;;;;;;;;;x 
suebi;Suebi;;;;;;;;;x 
ilmenian;Ilmenian;;;;;;;;;x 
severian;Severian;;;;;;;;;x 
volhynian;Volhynian;;;;;;;;;x 
d_powys;Powys;;;;;;;;;x 
d_powys_adj;Powys;;;;;;;;;x 
BM_CHARLEMAGNE;Charlemagne;;;;;;;;;x 
LOMBARD_KINGDOM;Lombardy;;;;;;;;;x 
LOMBARD_KINGDOM_ADJ;Lombard;;;;;;;;;x 
k_lombardy;Lombardy;;;;;;;;;x 
k_lombardy_adj;Lombard;;;;;;;;;x 
WELCOME_HEADER;Welcome to Crusader Kings II;;;;;;;;;x 
#WELCOME_TEXT;You can play as any medieval ruler at any point in time, from a lowly count to an all-powerful emperor. When your character dies, you will need an heir to take over, and so on, down the ages. The starting situation is historical - and thus completely unbalanced. Check the difficulty estimation of a ruler before you start playing!;;;;;;;;;x 
WELCOME_FIRST_PLAY_RECOMMEND;\n\nFor your first game we strongly recommend playing a special learning scenario as §YKing Alfonso VI of León§!. When it ends you can keep playing as normal.;;;;;;;;;x 
WELCOME_PLAY_LEARNING_SCENARIO;Learning Scenario;;;;;;;;;x 
WELCOME_PLAY_NORMAL_GAME;Normal Game;;;;;;;;;x 
DONT_SHOW_AGAIN;Don't show this again;;;;;;;;;x 
EVTNAME107000;Learning Scenario;;;;;;;;;x 
#EVTDESC107000;Behold! The world as we know it in the year of our Saviour, 1066. As you can tell, it is divided into distinct regions - Counties - each controlled by some lord or another. Crusader Kings II is a game about these lords, their families, relations, intrigue... and power. Be a conqueror or a peaceful family father, as you will, but know that most other characters will lust after more land, more Counties.\n\nCrusader Kings II is a real-time game. Close this window and unpause the game using the speed widget...;;;;;;;;;x 
