#CODE;ENGLISH;;;;;;;;;x 
gamer;Game Master;;;;;;;;;x 
gamer_desc;This character is renowned as an avid and masterful game player - anything from chess to tabula, to exotic pachisi.;;;;;;;;;x 
IS_NOT_MARRIED_TO;Is NOT married to §Y$WHO$§!;;;;;;;;;x 
IS_MARRIED_TO;Is married to §Y$WHO$§!;;;;;;;;;x 
nick_the_shrewd;the Shrewd;;;;;;;;;x 
nick_the_wily;the Wily;;;;;;;;;x 
nick_the_fox;the Fox;;;;;;;;;x 
nick_the_jovial;the Jovial;;;;;;;;;x 
nick_the_jolly;the Jolly;;;;;;;;;x 
nick_the_gracious;the Gracious;;;;;;;;;x 
trade_route;Trade Route;;;;;;;;;x 
desc_trade_route;This province has a thriving trade with a foreign realm bringing in exotic goods.;;;;;;;;;x 
stone_quarry;Stone Quarry;;;;;;;;;x 
desc_stone_quarry;A stone quarry in this province produces a surplus of cheap building materials.;;;;;;;;;x 
leaning_tower_bad;Leaning Tower;;;;;;;;;x 
desc_leaning_tower_bad;A leaning tower dominates the landscape shamefully for the founder.;;;;;;;;;x 
leaning_tower;Leaning Tower;;;;;;;;;x 
desc_leaning_tower;A leaning tower dominates the landscape. This spectacular sight attracts people from afar.;;;;;;;;;x 
aspiring_trader;Aspiring Trader;;;;;;;;;x 
desc_aspiring_trader;This character is starting to learn the art of making money and fame from money.;;;;;;;;;x 
trader;Trader;;;;;;;;;x 
desc_trader;This character has learned how to attract money to his coffers in all kinds of ways.;;;;;;;;;x 
business_contacts;Business Contacts;;;;;;;;;x 
desc_business_contacts;This character has helped to create a thriving business climate in the realm.;;;;;;;;;x 
maze_pavilion;Pavilion;;;;;;;;;x 
desc_maze_pavilion;This character has a romantic and secluded pavilion in [Root.GetHerHis] garden.;;;;;;;;;x 
building_towards_heaven;Building Towards Heaven;;;;;;;;;x 
desc_building_towards_heaven;The clergy don't really like people building their own stairways to heaven.;;;;;;;;;x 
maze_fountain;Fountain;;;;;;;;;x 
desc_maze_fountain;This character has a large fountain in [Root.GetHerHis] garden.;;;;;;;;;x 
maze_fountain_extravagant;Fountain;;;;;;;;;x 
desc_maze_fountain_extravagant;This character has a large fountain in [Root.GetHerHis] garden filled with wine.;;;;;;;;;x 
great_tower;Great Tower;;;;;;;;;x 
desc_great_tower;This character is the founder of a great tower.;;;;;;;;;x 
opinion_trade_partner;Trade Partner;;;;;;;;;x 
opinion_disrespecting_culture;Disrespecting Culture;;;;;;;;;x 
opinion_fine_gift;Fine Gift;;;;;;;;;x 
opinion_religious_quarrel;Religious Quarrel;;;;;;;;;x 
opinion_family_statues;Family Statues;;;;;;;;;x 
opinion_religious_agenda;Religious Agenda;;;;;;;;;x 
opinion_annoyed;Annoyed;;;;;;;;;x 
