#CODE;ENGLISH;;;;;;;;;x 
set_government_type;Government is changed to §Y$GOVERNMENT$§!\n;;;;;;;;;x 
feudal_government;Feudal;;;;;;;;;x 
republic_government;Republic;;;;;;;;;x 
merchant_republic_government;Merchant Republic;;;;;;;;;x 
theocracy_government;Theocracy;;;;;;;;;x 
muslim_government;Iqta;;;;;;;;;x 
tribal_government;Tribal;;;;;;;;;x 
RETCAP_FROM_GOVERNMENT;From Government: $AMOUNT$\n;;;;;;;;;x 
GOVERNMENT_CANNOT_CREATE_KINGDOMS;Theocracies, Holy Orders and Mercenaries cannot create kingdoms!;;;;;;;;;x 
GOVERNMENT_CANNOT_USURP_KINGDOMS_AND_EMPIRES;Merchant Republics and Patricians cannot usurp kingdoms or empires;;;;;;;;;x 
GAME_STATE_WAS_CORRUPTED;Game State is corrupted. Please restart the game.;;;;;;;;;x 
TRIBAL_TAX;Tribal Tax;;;;;;;;;x 
GOVERNMENT_CANT_BUILD_HOLDINGS;§R$GOVERNMENT$ rulers Cannot Build new Holdings§!;;;;;;;;;x 
GOVERNMENT_NO_LIEGE_LEVY;Independent Tribal Rulers do not get liege levies from their vassal tribes;;;;;;;;;x 
PLAYERS_IN_UNIT;Player Characters in Unit;;;;;;;;;x 
YOU_IN_UNIT;You are in this Unit;;;;;;;;;x 
PLAYERS_IN_ATTACKERS;Attacking Player Characters;;;;;;;;;x 
YOU_IN_ATTACKERS;You are an attacker in this battle;;;;;;;;;x 
PLAYERS_IN_DEFENDERS;Defending Player Characters;;;;;;;;;x 
YOU_IN_DEFENDERS;You are a defender in this battle;;;;;;;;;x 
destroy_title_interaction_LONG_DESC;Destroy this title.;;;;;;;;;x 
usurp_title_interaction_TITLE;Usurp Title;;;;;;;;;x 
usurp_title_interaction_LONG_DESC;Usurp this title.;;;;;;;;;x 
create_title_interaction_LONG_DESC;Create this title.;;;;;;;;;x 
make_primary_title_interaction_LONG_DESC;Make this your primary title.;;;;;;;;;x 
make_capital_settlement_interaction_TITLE;Make Capital;;;;;;;;;x 
make_capital_settlement_interaction_DESC;I can make this my capital.;;;;;;;;;x 
make_capital_settlement_interaction_LONG_DESC;Make this Holding your capital.;;;;;;;;;x 
WILL_CANCEL_OLD_PLOT;You can only have one Plot active at a time. Choosing a new Plot will cancel your current one.;;;;;;;;;x 
WILL_CANCEL_OLD_AMBITION;You can only have one Ambition active at a time. Choosing a new Ambition will cancel your current one.;;;;;;;;;x 
WILL_CANCEL_OLD_FOCUS;You can only have one Focus active at a time. Choosing a new Focus will cancel your current one.;;;;;;;;;x 
alert_available_targetted_decision_instant;§YSpecial Character Actions Possible§!;;;;;;;;;x 
alert_available_targetted_decision_delayed;The following Special Character Actions are available:\n$LIST$;;;;;;;;;x 
alert_available_title_decision_instant;§YSpecial Title Actions Possible§!;;;;;;;;;x 
alert_available_title_decision_delayed;The following Special Title Actions are available:\n$LIST$;;;;;;;;;x 
alert_available_settlement_decision_instant;§YSpecial Holding Actions Possible§!;;;;;;;;;x 
