#CODE;ENGLISH;;;;;;;;;x 
EVTDESC_WOL_115;I am having an inordinately hard time pursuing my amorous interest in [target_seduced.GetTitledFirstNameNoRegnal]. When will I ever find the time to travel so far?;;;;;;;;;x 
EVTDESC_WOL_115_BUSY;My current occupation simply leaves me with no time to chase [target_seduced.GetTitledFirstNameNoRegnal] - or anyone else for that matter.;;;;;;;;;x 
EVTDESC_WOL_115_UNAVAILABLE;The target of my amorous attentions, [target_seduced.GetTitledFirstNameNoRegnal], simply never seems to be around!;;;;;;;;;x 
EVTOPTA_WOL_115;I should give up... for now.;;;;;;;;;x 
EVTOPTB_WOL_115;There is no rush!;;;;;;;;;x 
stop_seduce_decision;Stop Seduction;;;;;;;;;x 
stop_seduce_decision_desc;Stop my ongoing seduction effort. Perhaps I should focus on someone else...;;;;;;;;;x 
stop_seduce_decision_tt;Seduction ends;;;;;;;;;x 
stop_seduce_decision_target;Stop Seduction;;;;;;;;;x 
stop_seduce_decision_target_desc;Stop trying to seduce §Y[Root.GetTitledFirstNameNoRegnal]§!. I should turn my attentions elsewhere...;;;;;;;;;x 
stop_spy_on_decision;Stop Spying;;;;;;;;;x 
stop_spy_on_decision_desc;Cease spying on my current target. There are so many other suspects...;;;;;;;;;x 
stop_spy_on_decision_tt;Spying ends;;;;;;;;;x 
stop_spy_on_decision_target;Stop Spying On;;;;;;;;;x 
stop_spy_on_decision_target_desc;Stop spying on §Y[Root.GetTitledFirstNameNoRegnal]§!. I should turn my attention elsewhere...;;;;;;;;;x 
EVTDESC_HL_5051;A group of raiders are threatening the trade in our realm. My liege, [Liege.GetTitledFirstName], has ordered me to go after their leader, and make sure that the roads are safe for caravans.;;;;;;;;;x 
EVTOPTA_HL_5051;It is my duty.;;;;;;;;;x 
EVTOPTB_HL_5051;I won't risk my life against the dangerous bandits.;;;;;;;;;x 
EVTTOOLTIP_HL_5051;Refusing orders while give my liege a reason to arrest me.;;;;;;;;;x 
EVTDESC_HL_5052;[From.GetTitledFirstName] brought forth to me the head of the raiders' leader, of the bandit leader whom previously plagued merchants in [FromFrom.GetName].;;;;;;;;;x 
EVTOPTA_HL_5052;Excellent work!;;;;;;;;;x 
EVTDESC_HL_5053;In the late afternoon [From.GetTitledFirstName]'s horse arrived home riderless. There's no telling what the raiders have done to [From.GetHerHim].;;;;;;;;;x 
EVTOPTA_HL_5053;What a horrible fate.;;;;;;;;;x 
EVTOPTB_HL_5053;I need to deal with these rascals personally.;;;;;;;;;x 
EVTOPTC_HL_5053;Get the soldiers to chase them out.;;;;;;;;;x 
