#CODE;ENGLISH;;;;;;;;;x 
INTERACTION_CANNOT_INVITE_MARRIED;[Recipient.GetBestName] must not be married;;;;;;;;;x 
INTERACTION_CANNOT_INVITE_CONSORT;[Recipient.GetBestName] must not be a concubine;;;;;;;;;x 
AIREASON_LOVER;§Y[GetTitledFirstName]§! is my Lover;;;;;;;;;x 
AIREASON_FRIEND;§Y[GetTitledFirstName]§! is my Friend;;;;;;;;;x 
AIREASON_WITH_LOVER;Wants to stay with lover - §Y[GetTitledFirstName]§!;;;;;;;;;x 
MODIFIER_SAME_RELIGION_OPINION;Same Religion;;;;;;;;;x 
PV_FORT;Fort;;;;;;;;;x 
PV_TRADE_POST;Trade Post;;;;;;;;;x 
adopt_wolf_child;The child is adopted with full right of inheritance.;;;;;;;;;x 
EVTTOOLTIP89008;Is informed of the murder attempt.;;;;;;;;;x 
claim_on_vassal_plot_desc;§Y$CLAIMANT$§! is trying to revoke the title of §Y$TITLE$§!, which has resulted in an armed conflict with §Y$TARGET$§!;;;;;;;;;x 
EVTOPTC63011;This seems fishy. I should notify the supposed 'plotter'.;;;;;;;;;x 
werewolf_howling_tooltip;Howling at the moon all through the night.;;;;;;;;;x 
werewolf_swimming_tooltip;Sleeping outside, all wet..;;;;;;;;;x 
SENTIMENT;Sentiment:;;;;;;;;;x 
#SENTIMENT_OF;Sentiment of;;;;;;;;;x 
GRAZING_LAND;Need more grazing land;;;;;;;;;x 
CLAN_OPINION;Clan sentiment;;;;;;;;;x 
MARRIAGE_TIES;Marriage ties;;;;;;;;;x 
WEAK;Weakness;;;;;;;;;x 
TOO_MUCH_COMPETITION;Too much competition;;;;;;;;;x 
CREATE_FEUD;$ACTOR$ and $RECIPIENT$ will be dragged into a feud;;;;;;;;;x 
opinion_built_temple;Built Temple;;;;;;;;;x 
FORM_BLOOD_OATH_INTERACTION_TITLE;Form a Blood Oath;;;;;;;;;x 
#FORM_BLOOD_OATH_INTERACTION_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;;;;;;;;x 
#FORM_BLOOD_OATH_INTERACTION_LONG_DESC;Swearing a blood oath between these two clans will make them become as if one. You swear to defend each other and for all time be allies in war and brothers in peace. Be careful however as you can only have one other clan as your blood-sworn brother.;;;;;;;;;x 
INTERACTION_NO_BLOOD_BROTHER;§Y$CLAN$§! can't already have a Blood Brother.;;;;;;;;;x 
HAS_BLOOD_OATH_WITH;Has a Blood Oath with §Y$CLAN$§!;;;;;;;;;x 
NOT_HAS_BLOOD_OATH_WITH;Do not have a Blood Oath with §Y$CLAN$§!;;;;;;;;;x 
declare_feud;Declare Feud;;;;;;;;;x 
#declare_feud_desc;Declare a feud between your clan and another.;;;;;;;;;x 
opinion_feud;Feud;;;;;;;;;x 
BLOOD_BROTHER;Blood Brothers;;;;;;;;;x 
EVTDESC505;I swear to you that we shall be bonded by blood as brothers!;;;;;;;;;x 
EVTDESC506;I do not accept your offer of blood oath.;;;;;;;;;x 
INTERACTION_CANT_DOW_BLOOD_BROTHER;Must not be a blood brother.;;;;;;;;;x 
EVTNAMEHL6;The [From.Clan.GetName] Feud;;;;;;;;;x 
EVTDESCHL6;[From.GetBestName] and his people have hunted on our lands, stolen our sheep and kidnapped our women. This even though they know very well the boundaries between our clans! They truly are despicable and would betray us instantly if given the chance.;;;;;;;;;x 
EVTOPTAHL6;Beware the [From.Clan.GetName]. They are without honor.;;;;;;;;;x 
SHOW_OPINION;§YInspect Clan Standings§!;;;;;;;;;x 
TOTAL_POPULATION;Total Population:;;;;;;;;;x 
FEUD;Feud;;;;;;;;;x 
FEUD_BLOOD_BROTHER;Feud with Blood Brothers;;;;;;;;;x 
CLAN_LEADER_HAS_NO_JOB;Is not a Councillor;;;;;;;;;x 
PRESTIGE;Prestige;;;;;;;;;x 
FEUD_CLAN_LEADER_HAS_JOB; is a Councillor;;;;;;;;;x 
EVTNAMEHL10;Death of a brother;;;;;;;;;x 
EVTDESCHL10;With the death of [From.GetBestName] our blood oath with his family and our obligation to his people vanishes together with his life.;;;;;;;;;x 
EVTOPTAHL10;A sad day for the [Root.Clan.GetName]...;;;;;;;;;x 
EVTDESC_HL_10700;[From.GetFirstName] has spent his hard earned wealth on attracting and recruiting more soldiers for his mercenary band.;;;;;;;;;x 
EVTOPTA_HL_10700;A good investment I hope.;;;;;;;;;x 
EVTDESC_HL_10701;[From.GetFirstName] has spent his hard earned wealth on carousing with his men, wasting it on spirits and women;;;;;;;;;x 
EVTOPTA_HL_10701;A good family tradition.;;;;;;;;;x 
alert_inefficent_land_management_instant;§YInefficient Land Management§!;;;;;;;;;x 
alert_inefficent_land_management_delayed;You have too many holdings in your personal demesne. As a nomad you can only have one holding without penalties. However you might want to keep the land yourself so you can pillage it...;;;;;;;;;x 
plot_gain_title_short;Plot to Acquire;;;;;;;;;x 
plot_gain_vassal_title_short;Plot to Revoke;;;;;;;;;x 
plot_kill_character_short;Plot to Kill;;;;;;;;;x 
plot_kill_spouse_short;Plot to Kill;;;;;;;;;x 
plot_gain_liege_title_short;Plot for Claim;;;;;;;;;x 
plot_gain_fellow_vassal_title_short;Plot for Claim;;;;;;;;;x 
MAKE_PRIMARY;Make Primary;;;;;;;;;x 
WAR_INVALID_LIEGE_JOINS_ENEMY;\n($LIEGE$ joins $OTHER$'s war);;;;;;;;;x 
WAR_INVALID_ELECTED_REL_HEAD;\n($CHAR$ was elected $TITLE$);;;;;;;;;x 
INTERACTION_HAS_TITLES_TO_REVOKE;Has Titles that can be Revoked;;;;;;;;;x 
REL_UNCLE_HUSBAND;Husband;;;;;;;;;x 
REL_NEPHEW_HUSBAND;Husband;;;;;;;;;x 
REL_COUSIN_HUSBAND;Husband;;;;;;;;;x 
REL_COUSIN_WIFE;Wife;;;;;;;;;x 
REL_AUNT_WIFE;Wife;;;;;;;;;x 
REL_NIECE_WIFE;Wife;;;;;;;;;x 
MINOR_CLAN_REVOLT;[Root.County.GetAdjective] Minor Clan Rising;;;;;;;;;x 
succ_nomadic_desc;Among the peoples of the steppe, Prestige alone determines the line of succession. Legitimate children and siblings of the current ruler are eligible, but, unlike other forms of succession, only adults of the right culture can inherit.;;;;;;;;;x 
STAT_CULTURE_PROV_DESC;This is the majority culture in this county.;;;;;;;;;x 
STAT_RELIGION_PROV_DESC;This is the majority religion in this county.;;;;;;;;;x 
TITLE_CANNOT_CREATE_MERCENARY_TITLE;You can never directly create a Mercenary title;;;;;;;;;x 
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;You can never directly create a Holy Order title;;;;;;;;;x 
NO_VALID_AMBITIONS;§RThere is no valid Ambition for you to pick!§!;;;;;;;;;x 
NO_VALID_FOCUSES;§RThere is no valid Focus for you to pick!§!;;;;;;;;;x 
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! will not consider offers from infidels;;;;;;;;;x 
AN_UNKNOWN_LOCATION;an unknown location;;;;;;;;;x 
cb_liberate_nomad_duchy_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the savage, §Y$TARGET$§!, within the de jure §Y$TITLE$§!.;;;;;;;;;x 
nomad_dispute_desc;Feuding clans can declare wars against each other to seize a single county.;;;;;;;;;x 
CB_NAME_LIBERATE_NOMAD;Liberate [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_LIBERATE_NOMAD;$ORDER$$FIRST_ADJ$ Liberation of $OTHER_TITLE$;;;;;;;;;x 
liberate_nomad_cb_succ_tip;§Y[Root.GetTitledFirstName]§! vassalizes non-nomadic lords and takes all other titles in the §Y[This.GetFullBaseName]§!.\n;;;;;;;;;x 
pagan_subjugation_desc;Pagans are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...;;;;;;;;;x 
pagan_county_conquest_desc;Pagans and Nomads can conquer single border counties without specific reasons. Norse Pagans can also take any coastal county.;;;;;;;;;x 
nomad_subjugation_desc;Nomads can subjugate non-Nomadic realms once in their lifetime.;;;;;;;;;x 
nomad_invasion_desc;If our population is getting too large, we may invade another realm to seize their pasture lands! If successful, all occupied territory will be seized and all vassals will become our vassals.;;;;;;;;;x 
CB_NAME_PAGAN_SUBJUGATION;Subjugation;;;;;;;;;x 
WAR_NAME_PAGAN_SUBJUGATION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Subjugation War;;;;;;;;;x 
tribal_subjugation_tip;§Y[Root.GetTitledFirstName]§! subjugates §Y[This.GetTitledName]§!\n;;;;;;;;;x 
POPULATION_FACTOR_LOWER_THAN;Population less than §Y$PERC$%§! of Maximum;;;;;;;;;x 
POPULATION_FACTOR_AT_LEAST;Population at least §Y$PERC$%§! of Maximum;;;;;;;;;x 
action_collect_tribute;Collect Tribute;;;;;;;;;x 
action_collect_tribute_desc;Send your [GetTreasurerName] to collect extra contributions from vassals and tributary rulers. This will not please them much...;;;;;;;;;x 
squeezed_for_extra_tribute;Squeezed for Extra Tribute;;;;;;;;;x 
refused_extra_tribute;Refused Extra Tribute;;;;;;;;;x 
EVTNAME20225;Extra Contributions;;;;;;;;;x 
EVTDESC20225;My liege, [Root.Liege.GetTitledFirstName] has charged me with collecting extra tribute from [tribute_giver.GetTitledName]. It has not been easy going through [tribute_giver.GetPossPronoun] finances, but I finally know how much I should demand...;;;;;;;;;x 
EVTOPTA20225;Present my demand;;;;;;;;;x 
EVTOPTB20225;I should procratinate...;;;;;;;;;x 
EVTTOOLTIP_20226;[tribute_giver.GetFirstName] responds to my demand.;;;;;;;;;x 
EVTDESC20226;The [GetRootFromInsult], [From.GetTitledFirstName], is here demanding extra 'contributions' on behalf of [From.Liege.GetTitledName]!;;;;;;;;;x 
EVTOPTA20226;Accept the demand;;;;;;;;;x 
EVTOPTB20226;Refuse. Consequences be damned!;;;;;;;;;x 
EVTDESC20227;[From.GetTitledFirstName] wisely - though reluctantly - accepted my demand for extra contributions to my liege, [Liege.GetTitledFirstName]. I fear this has hurt our relations, however...;;;;;;;;;x 
EVTDESC20228;My efficient [From.GetJobTitle], [From.GetTitledFirstName], has managed to squeeze some extra money out of [FromFrom.GetTitledName]. I fear [FromFrom.GetSubjectPronoun] is not too happy about it though...;;;;;;;;;x 
EVTDESC20229;[From.GetTitledFirstName] outrageously refused my demand for extra contributions to my liege, [Liege.GetTitledFirstName], claiming [From.GetSubjectPronoun] is under no such obligations!;;;;;;;;;x 
EVTOPTA20229;The [GetRootFromInsult]!;;;;;;;;;x 
EVTDESC20231;The [GetRootFromFromInsult], [FromFrom.GetTitledFirstName], outrageously refused to pay the extra tribute demanded by my [Root.GetTreasurerName], [From.GetTitledFirstName]!;;;;;;;;;x 
EVTOPTA20231;I shall not forget this...;;;;;;;;;x 
action_train_troops_nomadic;Train Warriors;;;;;;;;;x 
action_train_troops_nomadic_desc;Send your [GetMarshalName] to increase your manpower regrowth.;;;;;;;;;x 
action_clan_sentiment;Improve Clan Sentiment;;;;;;;;;x 
action_clan_sentiment_desc;Send your [GetChancellorName] to improve your clan's esteem in the eyes of another clan.;;;;;;;;;x 
clan_propaganda_effort;Propaganda Effort;;;;;;;;;x 
won_tributary_war;Won Tributary War;;;;;;;;;x 
opinion_driven_from_my_lands;Driven from my Lands;;;;;;;;;x 
SENTIMENT_CLANS_WANT_MORE_LAND;Clans Want More Land;;;;;;;;;x 
EVTNAME20235;An Honorable Mention;;;;;;;;;x 
EVTDESC20235;Most of the Clan elders are assembled in [Root.Location.GetName]. This is a golden opportunity to tell them about the great honor of [Root.Liege.GetTitledFirstNameNoRegnal]'s clan...;;;;;;;;;x 
EVTOPTA20235;Spin them such a tale...;;;;;;;;;x 
EVTOPTB20235;What 'great honor'?;;;;;;;;;x 
