#CODE;ENGLISH;;;;;;;;;x 
EVTOPTA_HL_121;My friend, gold is the sign of nobility!;;;;;;;;;x 
abandon_province;Abandon Province;;;;;;;;;x 
abandon_province_desc;It is time to abandon this land and move on to greener pastures.;;;;;;;;;x 
nomads_exploited_land;Nomads Exploited Land;;;;;;;;;x 
nomad_population_boom;Population Boom;;;;;;;;;x 
nomad_population_boom_spillover;Population Boom Spillover;;;;;;;;;x 
PROVINCE_ABANDONED_TOOLTIP;Abandon the province and let one of the neighbors grab it;;;;;;;;;x 
ANY_SETTLEMENT;Any Holding;;;;;;;;;x 
CB_NAME_INSTALLKHAN;Install Khagan;;;;;;;;;x 
cb_install_khan_desc;The clans can forcefully depose the Khagan and replace him with someone more powerful.;;;;;;;;;x 
elephant_trample_tactic;Elephant Trample Tactic;;;;;;;;;x 
INTERACTION_NOT_ALREADY_ENEMIES;Not an enemy;;;;;;;;;x 
CLAN_SAME_FAITH;Same Faith;;;;;;;;;x 
DOES_NOT_RISK_MINOR_CLAN_RISING;Does NOT risk a Minor Clan Rising;;;;;;;;;x 
RISKS_MINOR_CLAN_RISING;Risks a Minor Clan Rising;;;;;;;;;x 
nomad_expansion_desc;If we have enough Prestige, we can subdue large foreign areas in a single war.;;;;;;;;;x 
CB_NAME_NOMAD_EXPANSION;Subordination of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_NOMAD_EXPANSION;$ORDER$$FIRST_ADJ$ War for $OTHER_TITLE$;;;;;;;;;x 
POLL_TAX_DESC;Population of other religion groups pay the Jizya tax;;;;;;;;;x 
CLAN_SIZE;§YMax Number of Clans§!;;;;;;;;;x 
CLAN_SIZE_DESC;The maximum number of Clans is determined by the size of the realm. Having too many clans will negatively affect the §YClan Sentiment§! of all vassal clans towards their liege. There is also an absolute maximum of §Y$MAX$§! Clans, at which point you can no longer use the §YSplit Clan§! interaction and any subjugated §YNomad§! will become a §YTribal§! ruler instead.;;;;;;;;;x 
#CLAN_LIMIT_FORMULA;§YAllowed Number of Clans§!;;;;;;;;;x 
succ_nomad_succession;Nomad Succession;;;;;;;;;x 
