#CODE;ENGLISH;;;;;;;;;x 
horse_regret;Saved Instead of Favorite Horse;;;;;;;;;x 
EVTDESC_HL_6000;You go out into the herd to choose a strong and powerful warhorse. You look around with expert eyes and eventually spot a steed that stands out from the rest. It is strong and has a powerful bearing.\n\nAs you mount your new steed, you feel certain that you have made the right choice. All that remains now is to give it a suitable name - what shall it be?;;;;;;;;;x 
EVTOPTA_HL_6000;Dragon.;;;;;;;;;x 
EVTOPTB_HL_6000;Sky.;;;;;;;;;x 
EVTOPTC_HL_6000;Arrow.;;;;;;;;;x 
EVTOPTD_HL_6000;Lightning.;;;;;;;;;x 
EVTDESC_HL_6010;Your ward, [ward_cant_ride.GetFirstName], is almost eight years old now and still cannot ride a horse properly. It is truly a disgrace.;;;;;;;;;x 
EVTOPTA_HL_6010;This will not do! I shall teach [ward_cant_ride.GetHerHim] personally.;;;;;;;;;x 
EVTOPTB_HL_6010;What a useless child. Let [ward_cant_ride.GetHerHim] flounder.;;;;;;;;;x 
EVTTITLE_HL_6020;The River Crossing;;;;;;;;;x 
EVTDESC_HL_6020;Traveling from one of your camps to the next, you come upon a river. Rains have made it swell and the rapids are strong and violent. The way around is too long, however, so you must cross. You watch with concern as the party gingerly begins to descend into the churning waters. [spouse_danger_nomad_river_crossing.GetFirstName], your [spouse_danger_nomad_river_crossing.GetHusbandWife], crosses riding your favorite horse.\n\nYou are watching from the bank as it suddenly happens... [spouse_danger_nomad_river_crossing.GetFirstName] loses control in the strong rapids and falls off the horse as it loses its footing, and both of them are grabbed by the strong current. You realize that you only have a moment to react before they are swept away, you cannot save them both...;;;;;;;;;x 
EVTOPTA_HL_6020;I must save [spouse_danger_nomad_river_crossing.GetFirstName]!;;;;;;;;;x 
EVTOPTB_HL_6020;I must save Dragon!;;;;;;;;;x 
EVTOPTC_HL_6020;I must save Sky!;;;;;;;;;x 
EVTOPTD_HL_6020;I must save Arrow!;;;;;;;;;x 
EVTOPTE_HL_6020;I must save Lightning!;;;;;;;;;x 
EVTDESC_HL_6021;You managed to pull [spouse_danger_nomad_river_crossing.GetFirstName] out of the river. You lost your favorite horse, but your [spouse_danger_nomad_river_crossing.GetHusbandWife] is safe. [spouse_danger_nomad_river_crossing.GetSheHeCap] is terrified but overjoyed at the narrow escape and your brave rescue.;;;;;;;;;x 
EVTOPTA_HL_6021;I am glad [spouse_danger_nomad_river_crossing.GetSheHe]'s safe.;;;;;;;;;x 
EVTOPTB_HL_6021;Alas, I lost Dragon...;;;;;;;;;x 
EVTOPTC_HL_6021;Alas, I lost Sky...;;;;;;;;;x 
EVTOPTD_HL_6021;Alas, I lost Arrow...;;;;;;;;;x 
EVTOPTE_HL_6021;Alas, I lost Lightning...;;;;;;;;;x 
EVTDESC_HL_6022;You managed to pull [spouse_danger_nomad_river_crossing.GetFirstName] out of the river. Once safe, [spouse_danger_nomad_river_crossing.GetSheHe] stands up, dripping wet and shivering, and curses you: 'You imbecile! I would have been fine! How could you let that fine horse drown?';;;;;;;;;x 
EVTOPTA_HL_6022;I, too, now question my decision.;;;;;;;;;x 
EVTDESC_HL_6030;One of your loyal retinue warriors has approached you with a petition for aid. He says his family lost several of their mares to illness and now they are struggling to feed their children.;;;;;;;;;x 
EVTOPTA_HL_6030;You shall have six mares from my personal herd.;;;;;;;;;x 
EVTOPTB_HL_6030;Unfortunate, but I cannot help you.;;;;;;;;;x 
feudal_government_desc;Feudal government revolves around the oath between liege and vassal, and Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... There are several Succession Laws to pick between - each with its own merits. The Centralization Law controls the maximum size of your Demesne and the number of direct vassals you can have. If you should convert to a religion in the Muslim group, your government form will change to Iqta.;;;;;;;;;x 
muslim_government_desc;The Arabic Iqta system is similar to the Feudal system - rulers must rely on land holding vassals or varying loyalty and ambition. The maximum number of vassals and the number of Holdings you can directly own are controlled by the Centralization Law. However, there is only one form of Succession available - the chaotic 'Open' type, where the son with most land inherits. If you should convert to a non-Muslim religion, your government form will change to Feudal.;;;;;;;;;x 
opinion_nomad_wargames_participant;Participated in Wargames;;;;;;;;;x 
hold_nomad_wargames;Hold Wargames;;;;;;;;;x 
hold_nomad_wargames_desc;I can invite warriors of my realm to compete in games of martial skill - horsemanship, archery and swordsmanship. There will be gold as well as prestige in it for the winner.;;;;;;;;;x 
holding_nomad_wargames;Holding Wargames;;;;;;;;;x 
holding_nomad_wargames_desc;This ruler is hosting a traditional competition in martial skills.;;;;;;;;;x 
held_nomad_wargames;Held Wargames;;;;;;;;;x 
held_nomad_wargames_desc;This character has recently hosted a traditional competition in martial skills, thus honoring ancient values and martial traditions.;;;;;;;;;x 
EVTDESC_HL_7000;You have decided to organize a great competition in martial skills, inviting warriors from across the realm to display their prowess with horse, bow and sword.;;;;;;;;;x 
EVTOPTA_HL_7000;It will be a great contest.;;;;;;;;;x 
EVTDESC_HL_7001;To my faithful warrior [Root.GetDynName],\n\nI shall expect your presence at the upcoming wargames that will be held at [From.Capital.GetName]\n\n[From.GetFullName];;;;;;;;;x 
EVTOPTA_HL_7001;I will saddle my horse now!;;;;;;;;;x 
EVTDESC_HL_7002;Dear [Root.GetTitledFirstName],\n\nUnfortunately I cannot attend the upcoming wargames.\n\n[From.GetTitledName];;;;;;;;;x 
EVTDESC_HL_7020;Warriors have come to your court from afar, gathering for the great wargames. The impatient stomping of horses accompanies the excited cries from the spectators. As the participants salute you, you give the signal for the contest to begin.;;;;;;;;;x 
EVTOPTA_HL_7020;The best warrior shall win!;;;;;;;;;x 
EVTDESC_HL_7025;You have arrived at the court of the [From.PrimaryTitle.GetRulerTitle] for the wargames. The impatient stomping of horses accompanies the excited cries from the spectators. As you salute [From.GetTitledFirstName], [From.GetSheHe] gives the signal for the contest to begin.;;;;;;;;;x 
EVTOPTA_HL_7025;I shall give it my best!;;;;;;;;;x 
EVTDESC_HL_7055;Your skill with horse, bow and sword unmatched on this day, you have won the games! [From.GetTitledFirstName] presents you with your well-earned prize.;;;;;;;;;x 
EVTOPTA_HL_7055;I knew I would win!;;;;;;;;;x 
EVTDESC_HL_7060;[From.GetFullName] has won the wargames, [From.GetHerHis] martial skills unmatched.;;;;;;;;;x 
EVTOPTA_HL_7060;A worthy winner.;;;;;;;;;x 
FORT_CONTROL_OVER_PROVINCE;Controls or Besieges §Y$PROVINCE$§!;;;;;;;;;x 
TRIGGER_SUZERAIN;Suzerain;;;;;;;;;x 
FORT_CONSTRUCTION_ABANDONED_SETUP;Fort Construction Lost;;;;;;;;;x 
FORT_CONSTRUCTION_ABANDONED_LOG;The Fort under construction by §Y$BUILDER$§! in the hostile county of §Y$PROV$§! has been abandoned.;;;;;;;;;x 
